,ID,RA,DEC,Re,z,Mstar,GAL_MAG_U,GAL_MAG_G,r_mag,GAL_MAG_I,GAL_MU_E_G,GAL_MU_E_R,GAL_MU_E_I,GAL_MAG_Z,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,Ellipticity_r,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,priority,g_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,N_observations_to_complete,remaining_observations,isel
0,9711354901594,9.67211438417085,-29.6490532413725,5.50111446789986,0.0234,9.721238348750726,17.2965719817682,15.4311398448384,14.6915698107628,14.3625562709747,20.376267936070832,19.63669790199524,19.307684362207134,,,,,,,,,,,,,,1.0685835738637,22.00445787159944,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,1,0,1.0
1,9710263105939,10.7174862985762,-29.2878092922006,2.4465736605177,0.0431,9.411082723792385,20.0561663245921,17.998870946195,17.0112445368124,16.5957326211697,21.184537107267243,20.19691069788464,19.78139878224194,,,,,,,,,,,,,,1.403138325025303,9.7862946420708,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,1,0,9.0
2,9711390308578,9.64192701726722,-29.0669370433344,2.22455704841173,0.0354,9.209539152919028,20.0418143558222,18.0648379283862,17.0856010263462,16.6739154103426,21.043930348320515,20.064693446280515,19.65300783027692,,,,,,,,,,,,,,1.390922518043599,8.89822819364692,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,41,1,0,8.0
3,9711052408673,9.96409029559669,-29.0602071977672,2.09240629878829,0.0192,8.647741572617768,20.3168690941968,18.2900139209645,17.1835685547295,16.7702575044505,21.13611869628833,20.02967333005333,19.61636227977433,,,,,,,,,,,,,,1.519756416514003,8.36962519515316,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27,1,0,1.0
4,9710041302793,10.9310070697907,-29.5491298430513,4.31946520968704,0.0479,9.67318003388846,18.3038588534137,16.9166220071368,16.3720662775574,16.0319186399355,21.33664659093389,20.792090861354488,20.451943223732588,,,,,,,,,,,,,,0.8847033672013005,17.27786083874816,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13,1,0,8.0
5,9710792102001,10.2117661463311,-29.6165884688624,1.6132278603098,0.0412,8.963147413789494,20.9008232435622,18.9024939079765,17.9117840589151,17.5409919154665,21.18384715785989,20.19313730879849,19.82234516534989,,,,,,,,,,,,,,1.36150199251,6.4529114412392,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27,1,0,1.0
6,9710439903300,10.5490994056257,-29.5081399065151,2.82151154808591,0.0124,8.220457920091716,20.3250734305995,18.2914168912252,17.2444091547369,16.8546221897045,21.78670073356788,20.739692997079576,20.349906032047176,,,,,,,,,,,,,,1.4367947015207,11.28604619234364,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13,1,0,9.0
7,9711142904475,9.87637217197635,-29.4097874493092,2.05525810954778,0.0356,8.84923724346948,21.5192777748346,19.2912053353737,17.9873192889714,17.5796330912333,22.098411869612963,20.794525823210662,20.386839625472565,,,,,,,,,,,,,,1.7115722441403989,8.22103243819112,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,1,0,1.0
8,9710484904241,10.5058533847765,-29.4297988428669,2.9711265719499,0.0246,8.740732000153296,20.6221844292307,18.7994306237575,17.6053978884023,17.148029473401,22.406911072637243,21.21287833728204,20.75550992228074,,,,,,,,,,,,,,1.6514011503565025,11.8845062877996,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,13,1,0,1.0
9,9710504905524,10.4865227653647,-29.3229118421187,2.50403337082877,0.0192,8.471077439570683,19.706389983043,18.1614284196923,17.4450451527352,17.0967951030597,21.39750366315757,20.68112039620048,20.33287034652497,,,,,,,,,,,,,,1.064633316632598,10.01613348331508,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,1,0,1.0
10,9710976304306,10.0357014749048,-29.4242796716114,2.17943856681795,0.0085,7.706970123246409,20.333485142233,18.4915156855966,17.6463900055163,17.2803333441447,21.426113526328045,20.580987846247744,20.214931184876143,,,,,,,,,,,,,,1.2111823414518987,8.7177542672718,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27,1,0,1.0
11,9710649609301,10.3480720873323,-29.0082838293916,2.29977924456821,0.0301,8.602199060307898,20.6885111695449,18.9956151410878,18.1595639488687,17.783301484723,22.046920573634708,21.21086938141561,20.83460691726991,,,,,,,,,,,,,,1.212313656364799,9.19911697827284,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27,1,0,1.0
12,9710660904415,10.3374531781067,-29.415452080679,3.4460661331236,0.0176,8.400638211370868,20.4334099738645,18.8307566468665,17.6736332250241,17.2388276789828,22.76024936707984,21.60312594523744,21.16832039919614,,,,,,,,,,,,,,1.5919289678836996,13.7842645324944,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27,1,0,8.0
