,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
1,C901007087601093,313.1166522438831,-51.995509579666006,2.200348138809204,0.0452798195183277,9.69241026980581,-999999.0,18.302040100097656,17.70110321044922,16.88710877176738,17.30376434326172,20.656434893573163,-99999.0,False,1.3596924932731913,A3716,True,0.0,,,,,,,,,,,,,,1.414931328330276,8.801392555236816,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,29,0,9.0
2,C901006647403512,311.92629365511675,-53.29653926880341,3.465444803237915,0.0424793875234846,9.883260305810534,-999999.0,16.53620147705078,15.981463432312012,15.803859376373714,15.607006072998049,19.92313304355388,-99999.0,False,1.5040194648805796,A3716,True,0.0,,,,,,,,,,,,,,0.7323421006770676,13.86177921295166,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,34,0,1.0
3,C901006821908960,312.27155161943375,-52.7524638932884,4.036215782165527,0.0471146693148904,10.229135287045608,-999999.0,16.03659439086914,15.418827056884766,15.28915797575495,15.036911964416504,19.69157361972831,-99999.0,False,0.7877928180714422,A3716,True,0.0,,,,,,,,,,,,,,0.7474364151141906,16.14486312866211,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,29,0,9.0
6,C901006998900299,314.09516611821573,-52.17241058208904,3.737105369567871,0.009973551146686,7.591669812596221,-999999.0,18.535076141357425,18.19535446166992,18.01122935869472,18.007768630981445,22.300905859274728,-99999.0,False,1.5778168610841077,A3716,False,0.0,,,,,,,,,,,,,,0.5238467826627016,14.948421478271484,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,35,0,1.0
7,C901006998608072,313.2139215856697,-52.241151292540806,4.459528923034668,0.0507865902036428,9.740744176290352,-999999.0,17.369409561157227,16.830684661865234,16.58935521648425,16.43972396850586,21.320004268403633,-99999.0,False,0.9445056920611038,A3716,True,0.0,,,,,,,,,,,,,,0.7800543446729762,17.838115692138672,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,29,0,9.0
9,C901006822100642,312.7627690253654,-52.66375574452102,6.54269552230835,0.0474396962672472,9.86722485755446,-999999.0,16.750926971435547,16.171985626220703,16.239583544578636,15.72838020324707,21.49364385789798,-99999.0,False,0.304894493470235,A3716,True,0.0,,,,,,,,,,,,,,0.5113434268569108,26.1707820892334,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,31,0,9.0
10,C901006910101642,313.0118305479482,-52.532690881316746,9.732784271240234,0.045870795629999,10.076187637126916,-999999.0,16.36204719543457,15.705217361450195,15.726383755068992,15.249881744384766,21.889277529553706,-99999.0,False,0.396330278734387,A3716,True,0.0,,,,,,,,,,,,,,0.6356634403655779,38.93113708496094,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,33,0,9.0
11,C901006734407797,312.32482088867425,-53.0500391332178,2.7617454528808594,0.0052899997681379,7.4484123788410335,-999999.0,18.96307373046875,18.22245979309082,17.8807007348113,17.749374389648438,21.67125271297688,-99999.0,False,0.898097063305045,A3716,False,0.0,,,,,,,,,,,,,,1.082372995657451,11.046981811523438,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,33,0,9.0
12,C901006734106888,311.05098127482603,-53.02252081393158,2.453494071960449,0.0159927774220705,8.690007851511124,-999999.0,17.202167510986328,16.73283576965332,16.51956595669205,16.48137855529785,19.924635516350182,-99999.0,False,2.1518429537198855,A3716,False,0.0,,,,,,,,,,,,,,0.6826015542942798,9.813976287841797,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,31,0,9.0
13,C901006389800469,313.4311420560526,-54.04052813833131,7.841859340667725,0.0494081042706966,9.760111440490258,-999999.0,16.55485725402832,16.085376739501953,16.280704655582202,15.776778221130373,21.800346661734267,-99999.0,False,2.3371703995663236,A3716,True,0.0,,,,,,,,,,,,,,0.2741525984461184,31.3674373626709,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,34,0,1.0
