"probe","X","ID","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyPosition","fibre_type","x","y","rads","angs","azAngs","angs_azAng"
"38",37,"Sky-A3-3",312.5423864,-53.435711958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43806.66,236985.31,1,"S",-43.80666,236.98531,0,0,0,0
"39",38,"Sky-A3-4",312.6259897,-53.428302773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31816.56,234854.65,3,"S",-31.81656,234.85465,0,0,0,0
"40",39,"Sky-A3-5",312.6997805,-53.468590052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21257.58,245079.81,0,"S",-21.25758,245.07981,0,0,0,0
"41",40,"Sky-A3-6",312.7836492,-53.452590048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9249.26,240822.58,1,"S",-9.24926,240.82258,0,0,0,0
"42",41,"Sky-A3-7",312.8320486,-53.445641703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2328.95,238988.65,2,"S",-2.32895,238.98865,0,0,0,0
"43",42,"Sky-A4-1",313.6702767,-53.324544224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117864.56,210211.82,1,"S",117.86456,210.21182,0,0,0,0
"44",43,"Sky-A4-2",313.7394479,-53.299615652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127842.23,204297.4,1,"S",127.84223,204.2974,0,0,0,0
"45",44,"Sky-A4-3",313.8251624,-53.288473913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140376.88,202015.67,0,"S",140.37688,202.01567,0,0,0,0
"46",45,"Sky-A4-4",313.8711249,-53.243835719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146886.77,191063.71,1,"S",146.88677,191.06371,0,0,0,0
"47",46,"Sky-A4-5",313.9163113,-53.201375766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153321.73,180724.78,3,"S",153.32173,180.72478,0,0,0,0
"48",47,"Sky-A4-6",313.9928829,-53.180620508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164571.15,176060.79,1,"S",164.57115,176.06079,0,0,0,0
"49",48,"Sky-A4-7",314.0308683,-53.135720004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169982.57,165151.22,3,"S",169.98257,165.15122,0,0,0,0
"50",49,"Sky-A5-1",314.1385309,-51.828252753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189835.88,-148470.2,1,"S",189.83588,-148.4702,0,0,0,0
"51",50,"Sky-A5-2",314.0692999,-51.801643563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179443.81,-154818.99,3,"S",179.44381,-154.81899,0,0,0,0
"52",51,"Sky-A5-3",314.0350658,-51.755887312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174686.45,-166029.24,1,"S",174.68645,-166.02924,0,0,0,0
"53",52,"Sky-A5-4",313.9793538,-51.722058325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166495.77,-174241.85,1,"S",166.49577,-174.24185,0,0,0,0
"54",53,"Sky-A5-5",313.9211584,-51.689899623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157919.43,-182050.86,1,"S",157.91943,-182.05086,0,0,0,0
"55",54,"Sky-A5-6",313.8529489,-51.665650985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147740.9,-187865.98,2,"S",147.7409,-187.86598,0,0,0,0
"56",55,"Sky-A5-7",313.8157385,-51.614958929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142588.16,-200461.01,0,"S",142.58816,-200.46101,0,0,0,0
"57",56,"Sky-H1-1",311.7914894,-51.688069791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-158928.93,-181170.25,1,"S",-158.92893,-181.17025,0,0,0,0
"58",57,"Sky-H1-2",311.7331332,-51.720139643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-167461.73,-173313.68,1,"S",-167.46173,-173.31368,0,0,0,0
"59",58,"Sky-H1-3",311.6772534,-51.753885731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175606.63,-165055.67,1,"S",-175.60663,-165.05567,0,0,0,0
"60",59,"Sky-H1-4",311.6005392,-51.776323155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-187148.5,-159660.38,0,"S",-187.1485,-159.66038,0,0,0,0
"61",60,"Sky-H1-5",311.593066,-51.835908751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-187493.67,-144965.94,3,"S",-187.49367,-144.96594,0,0,0,0
"62",61,"Sky-H1-6",311.5003866,-51.852938919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-201628.08,-140933.02,0,"S",-201.62808,-140.93302,0,0,0,0
"63",62,"Sky-H1-7",311.4547767,-51.89336347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-208175.44,-131068.63,0,"S",-208.17544,-131.06863,0,0,0,0
"64",63,"Sky-H1-8",311.461084,-51.952992967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-206401.83,-116478.69,3,"S",-206.40183,-116.47869,0,0,0,0
"65",64,"Sky-H2-1",311.398343,-52.024429828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-215266.42,-99143.16,3,"S",-215.26642,-99.14316,0,0,0,0
"66",65,"Sky-H2-2",311.3137599,-52.0537509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-228133.66,-92038.22,0,"S",-228.13366,-92.03822,0,0,0,0
"67",66,"Sky-H2-3",311.3132745,-52.106270093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-227576.41,-79309.77,1,"S",-227.57641,-79.30977,0,0,0,0
"68",67,"Sky-H2-4",311.2873132,-52.15189106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-231128.77,-68268.26,1,"S",-231.12877,-68.26826,0,0,0,0
"69",68,"Sky-H2-5",311.2894598,-52.202301263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-230259.4,-56121.39,3,"S",-230.2594,-56.12139,0,0,0,0
"70",69,"Sky-H2-6",311.2461297,-52.245152121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-236620.39,-45736.79,1,"S",-236.62039,-45.73679,0,0,0,0
"71",70,"Sky-H2-7",311.2310233,-52.292579659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-238546.93,-34299.02,1,"S",-238.54693,-34.29902,0,0,0,0
"72",71,"Sky-H2-8",311.2322891,-52.341329491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-237929.62,-22594.18,2,"S",-237.92962,-22.59418,0,0,0,0
"73",72,"Sky-H3-1",311.7730451,-53.211665598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-154915.77,184613.56,1,"S",-154.91577,184.61356,0,0,0,0
"74",73,"Sky-H3-2",311.8512428,-53.230261022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-143432.93,188669.01,3,"S",-143.43293,188.66901,0,0,0,0
"75",74,"Sky-H3-3",311.9072648,-53.265095271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-135321.55,197000.2,2,"S",-135.32155,197.0002,0,0,0,0
"76",75,"Sky-H3-4",311.9666441,-53.298445077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-126738.16,204984.15,1,"S",-126.73816,204.98415,0,0,0,0
"77",76,"Sky-H3-5",312.048697,-53.309979966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114791.26,207345.04,3,"S",-114.79126,207.34504,0,0,0,0
"78",77,"Sky-H3-6",312.1068442,-53.346441038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106448.91,216216.77,1,"S",-106.44891,216.21677,0,0,0,0
"79",78,"Sky-H3-7",312.1851278,-53.360213194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95126.44,219253.19,2,"S",-95.12644,219.25319,0,0,0,0
"80",79,"Sky-H3-8",312.2638937,-53.371510613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83761.59,221704.75,3,"S",-83.76159,221.70475,0,0,0,0
"81",80,"Sky-H4-1",313.0028611,-53.449516164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22120.59,239982.8,1,"S",22.12059,239.9828,0,0,0,0
"82",81,"Sky-H4-2",313.0797435,-53.428593861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33083.17,234679.58,3,"S",33.08317,234.67958,0,0,0,0
"83",82,"Sky-H4-3",313.1608584,-53.428481248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44710.42,234780.7,2,"S",44.71042,234.7807,0,0,0,0
"84",83,"Sky-H4-4",313.2394034,-53.418350301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55954.92,232357.58,2,"S",55.95492,232.35758,0,0,0,0
"85",84,"Sky-H4-5",313.3206832,-53.413378226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67631.1,231316.01,1,"S",67.6311,231.31601,0,0,0,0
"86",85,"Sky-H4-6",313.3891468,-53.383908431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77376.39,224013.16,3,"S",77.37639,224.01316,0,0,0,0
"87",86,"Sky-H4-7",313.4685696,-53.374352962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88808.15,221887.61,2,"S",88.80815,221.88761,0,0,0,0
"88",87,"Sky-H4-8",313.5612964,-53.379866173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102290.63,223724.44,0,"S",102.29063,223.72444,0,0,0,0
"89",88,"Sky-H5-1",314.4813166,-52.617572623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237341.34,41834.81,1,"S",237.34134,41.83481,0,0,0,0
"90",89,"Sky-H5-2",314.523496,-52.571788426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244039.33,30996.87,0,"S",244.03933,30.99687,0,0,0,0
"91",90,"Sky-H5-3",314.5302746,-52.522743509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245248.08,19219.22,0,"S",245.24808,19.21922,0,0,0,0
"92",91,"Sky-H5-4",314.4886004,-52.473252451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238891.93,7186.56,2,"S",238.89193,7.18656,0,0,0,0
"93",92,"Sky-H5-5",314.487668,-52.425340652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238961.03,-4315.85,2,"S",238.96103,-4.31585,0,0,0,0
"94",93,"Sky-H5-6",314.4702484,-52.378168209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236481,-15675.99,3,"S",236.481,-15.67599,0,0,0,0
"95",94,"Sky-H5-7",314.4745106,-52.329870109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237439.82,-27264.07,2,"S",237.43982,-27.26407,0,0,0,0
"96",95,"Sky-H5-8",314.5059984,-52.277649643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242761.11,-39787.46,0,"S",242.76111,-39.78746,0,0,0,0
"97",96,"Sky-H6-1",314.4453423,-52.200700254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233824.92,-58369.25,1,"S",233.82492,-58.36925,0,0,0,0
"98",97,"Sky-H6-2",314.4110692,-52.156734573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228830.7,-68974.71,2,"S",228.8307,-68.97471,0,0,0,0
"99",98,"Sky-H6-3",314.3973844,-52.108719033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227132.05,-80573.54,1,"S",227.13205,-80.57354,0,0,0,0
"100",99,"Sky-H6-4",314.3970985,-52.056226265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227618.53,-93304.89,0,"S",227.61853,-93.30489,0,0,0,0
"101",100,"Sky-H6-5",314.3127154,-52.026779587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214712.01,-100338.19,3,"S",214.71201,-100.33819,0,0,0,0
"102",101,"Sky-H6-6",314.277293,-51.984516281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209635.65,-110552.68,3,"S",209.63565,-110.55268,0,0,0,0
"103",102,"Sky-H6-7",314.2494688,-51.939271369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205795.84,-121528.07,2,"S",205.79584,-121.52807,0,0,0,0
"104",103,"Sky-H6-8",314.2438555,-51.883697328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205560.35,-135133.06,0,"S",205.56035,-135.13306,0,0,0,0
"105",104,"Sky-H7-1",313.6796847,-51.593116177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122077.92,-205470.15,2,"S",122.07792,-205.47015,0,0,0,0
"106",105,"Sky-H7-2",313.6179822,-51.562981557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112988.23,-212872.55,1,"S",112.98823,-212.87255,0,0,0,0
"107",106,"Sky-H7-3",313.5430151,-51.548661057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101763.55,-216252.59,2,"S",101.76355,-216.25259,0,0,0,0
"108",107,"Sky-H7-4",313.4770756,-51.522273608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92004.44,-222747.04,1,"S",92.00444,-222.74704,0,0,0,0
"109",108,"Sky-H7-5",313.4045069,-51.505063441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81180.59,-226915.79,1,"S",81.18059,-226.91579,0,0,0,0
"110",109,"Sky-H7-6",313.3397377,-51.471413718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71624.44,-235342.17,0,"S",71.62444,-235.34217,0,0,0,0
"111",110,"Sky-H7-7",313.2559358,-51.47711917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58994.28,-233668.01,1,"S",58.99428,-233.66801,0,0,0,0
"112",111,"Sky-H7-8",313.1777983,-51.474086867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47288.89,-234274.97,2,"S",47.28889,-234.27497,0,0,0,0
