tile_number Filler_Galaxy tile_centre_RA MW_analogue EO_wind_galaxy
65 9 174.05949563291912 4 1
71 9 174.05949563291912 2 2
56 10 174.31526240073765 2 0
78 10 174.55225244260214 0 1
68 16 174.5710291685562 0 1
69 14 174.5710291685562 1 2
25 19 174.59621744873982 2 2
36 19 174.59919307928496 0 1
47 19 174.59919307928496 0 1
70 19 174.82679593637477 2 2
9 19 174.85545155424174 2 2
3 19 174.85545155424174 1 0
18 19 174.85909131936378 3 4
38 19 175.1248085702864 4 2
64 16 175.33832947201188 6 1
30 18 175.38761631578714 6 2
12 19 175.64771293123567 0 3
0 19 176.0185287905584 2 1
54 19 176.36139654328608 1 1
74 6 176.39100307852092 2 0
6 19 176.43319110959305 0 2
14 19 176.4363345431075 1 2
50 11 176.69822078654045 1 0
28 19 176.70165504329083 2 2
76 19 176.7260078114239 3 2
62 19 176.87293007892316 6 0
1 19 177.14843304135232 5 2
73 10 177.1559660239317 1 0
10 19 177.22495615497942 4 1
44 19 177.2272705342923 2 1
83 11 177.2972745043394 1 1
82 5 177.63576428693824 1 0
79 4 177.80500917823764 0 0
32 18 178.01569377079448 5 1
26 19 178.27850151629522 3 0
66 19 178.40753068583447 4 2
16 19 178.5393255080992 0 3
48 19 178.54130926179596 1 1
55 19 178.66329745365303 2 3
5 19 179.06275703517855 2 0
77 12 179.38281992887275 3 2
2 19 179.58867022029565 2 0
34 19 179.5925402437989 2 1
39 18 179.5925402437989 4 2
8 19 179.85162681285422 0 0
19 19 180.11656873184296 4 0
45 18 180.11815573480035 4 1
17 19 180.37944260246687 2 0
59 12 180.4536648283829 2 1
57 15 180.70943159620143 2 1
80 12 181.0206621129264 1 1
11 19 181.1680642143388 2 2
22 19 181.1680642143388 1 1
37 12 181.1693867168033 2 1
27 19 181.43219446230404 1 1
84 18 181.58583616035813 0 0
46 19 181.6950022078048 0 1
40 19 181.6950022078048 0 1
61 18 181.98826543529415 1 0
81 13 182.03613146072283 5 0
41 18 182.22061769880625 2 2
29 19 182.22061769880625 0 2
51 14 182.4736950501809 3 0
21 19 182.74530743808256 4 0
33 14 183.00904093530843 2 1
63 12 183.2670992743869 1 1
4 19 183.2700625161154 0 1
13 19 183.2710551793305 0 0
42 19 183.2718486808092 3 0
58 17 183.5228660422055 2 0
7 19 183.7959757012325 1 1
23 19 183.7968029205784 0 0
60 19 184.0343995778426 0 0
53 19 184.0343995778426 0 0
67 16 184.5459331134797 1 2
43 18 184.58588740831289 2 0
85 9 184.70674357242527 1 0
72 18 184.8055954780397 3 1
15 18 184.84829840307424 4 1
35 19 184.8486951538136 3 2
75 16 185.06058312650995 3 1
52 19 185.098910624563 2 2
24 18 185.1111722736982 0 3
20 19 185.1111722736982 3 1
49 16 185.37431064481504 1 0
31 15 185.37431064481504 1 0
