,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,69,901006910408101,314.4982936225899,-52.42907658846623,12.785599708557127,0.0243693254888057,8.513235667843665,-999999.0,17.44081687927246,17.348581314086914,17.272191556036606,17.427291870117188,24.125061512936643,-99999.0,False,1.7219505694637525,A3716,0.0,,,,,,,,,,,,,,0.1686253232358545,51.14239883422852,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,279677.992316938,38631.1480008951,0,313.2607803822495,-52.60001087165603,False
1,275,901006822101046,312.77749560411644,-52.71251826527791,19.654964447021484,0.0414766339195297,10.755744774458622,-999999.0,15.4926118850708,14.621074676513672,14.548484084233646,13.8358793258667,22.33131067115461,-99999.0,True,0.2534636910499912,A3716,1.0,,,,,,,,,,,,,,0.9441278008371548,78.61985778808594,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-109222.35985807027,-25426.67095854385,0,313.2607803822495,-52.60001087165603,False
2,137,901006910006155,312.80201749124376,-52.59526073458039,2.390073299407959,0.0131599996238946,8.319875093833701,-999999.0,18.92928504943848,18.125873565673828,17.89505406724157,17.595090866088867,21.260804348468383,-99999.0,False,0.357153468525611,A3716,0.0,,,,,,,,,,,,,,1.034230982196906,9.560293197631836,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,-103680.41336729573,1073.5309790944852,0,313.2607803822495,-52.60001087165603,False
3,105,901006734405837,312.2412545189333,-53.02882081223719,1.596614122390747,0.0297699999064207,8.258060703230392,-999999.0,19.233230590820312,18.898971557617188,18.693503172159925,18.78497695922852,21.15784607124692,-99999.0,False,0.9525800235517352,A3716,0.0,,,,,,,,,,,,,,0.5397274186603873,6.386456489562988,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,-230412.8451094557,-96911.04657134232,0,313.2607803822495,-52.60001087165603,False
4,286,901006734501516,312.47169313380675,-53.05035886238591,4.257974624633789,0.0396871790289878,10.361849590662066,-999999.0,16.32906150817871,15.49411964416504,15.233533713945103,14.900251388549805,19.883009670577746,-99999.0,True,0.7760288226159499,A3716,1.0,,,,,,,,,,,,,,1.0955277942336057,17.031898498535156,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,-178333.71814805936,-101778.64590495313,0,313.2607803822495,-52.60001087165603,False
5,73,901006998604542,313.06728931578294,-52.21541947089575,3.949160575866699,0.0487216524779796,9.814948141804718,-999999.0,16.962064743041992,16.432430267333984,16.293013384565555,16.092071533203125,20.6578289132636,-99999.0,False,0.9644780838475082,A3716,1.0,,,,,,,,,,,,,,0.6690513584764375,15.796642303466797,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-43728.98102144018,86917.65657182297,0,313.2607803822495,-52.60001087165603,False
6,162,901007177006992,313.58510756346743,-51.83144713239837,8.297654151916504,0.0477096435637461,10.713916388961032,-999999.0,15.599446296691896,14.80518913269043,14.583302531236464,14.2049560546875,20.64284046132029,-99999.0,False,1.7650806805367123,A3716,1.0,,,,,,,,,,,,,,1.0161437654554302,33.190616607666016,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,73297.94295525414,173695.40507223236,0,313.2607803822495,-52.60001087165603,False
7,133,901007176909042,313.24778975545416,-51.86545560725229,22.643707275390625,0.0524596252518133,10.823683194826064,-999999.0,14.63989543914795,13.841809272766112,14.694681506367395,13.19463348388672,21.85942161421988,-99999.0,False,1.6083301593856532,A3716,1.0,,,,,,,,,,,,,,-0.054786067219446,90.5748291015625,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-2935.8816557443106,166009.48975524647,0,313.2607803822495,-52.60001087165603,False
8,283,901006734400595,312.0183614112756,-53.02438569109389,5.889083385467529,0.0447123495675194,11.02990373352498,-999999.0,15.090068817138672,14.198143005371094,13.95644790710342,13.576568603515623,19.29125620551411,-99999.0,True,1.161684455889412,A3716,1.0,,,,,,,,,,,,,,1.1336209100352512,23.55633354187012,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-280786.68744010484,-95908.70919295597,0,313.2607803822495,-52.60001087165603,False
9,101,901006647510047,312.60668750031044,-53.1805128029572,5.492523193359375,0.0429905802011489,9.637294077730036,-999999.0,17.41164207458496,16.820714950561523,16.579854039038565,16.399784088134766,21.7624491297878,-99999.0,False,0.8692660586574539,A3716,1.0,,,,,,,,,,,,,,0.8317880355463956,21.9700927734375,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-147824.99131822534,-131193.43647406469,0,313.2607803822495,-52.60001087165603,False
