,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,747,343660089310063,-16.187232191015994,-33.8432776286792,3.53800166212319,0.0261000003665685,8.916626847610722,19.836941243310164,18.509417293545447,17.88111049195355,17.586640780998565,17.56204965819667,21.867775336696976,0.614868985839099,,,,,,,,,,,,,,,,,,0.922776512546882,14.15200664849276,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,-114714.34912163562,-21412.741010381567,0,-15.679646575433535,-33.74853098704035,False
1,731,343660189610076,-16.287864213722003,-33.8426512981556,2.57824632879218,0.0297999996691942,9.54349280272907,19.303084677436367,17.543829438837697,16.84186318860397,16.505946955709447,16.303017484833482,20.141359910454447,0.220660613281351,,,,,,,,,,,,,,,,,,1.03788248312825,10.31298531516872,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-137457.1862531936,-21271.19031204755,0,-15.679646575433535,-33.74853098704035,False
2,735,343660574409001,-16.673798689600005,-33.9332277644883,6.01217775029448,0.0278999991714954,10.20401705472181,17.97097296224903,16.220096747540985,15.419511659138994,15.01296981637636,14.725537235160571,20.55754540107317,0.662765444949666,,,,,,,,,,,,,,,,,,1.2071269311646269,24.04871100117792,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-224678.37780162215,-41741.47170323755,0,-15.679646575433535,-33.74853098704035,False
3,873,345661187808432,-16.09015302467202,-33.9797368091718,7.72024786064716,0.0057999999262392,8.000128964848377,18.1993401846748,16.861175900704183,16.397808211113063,16.190177410611607,16.09352657047546,22.07883911135567,0.2828413597170039,,,,,,,,,,,,,,,,,,0.6709984900925754,30.88099144258864,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,-92774.45752789748,-52252.515801707734,0,-15.679646575433535,-33.74853098704035,False
4,865,345661119005322,-16.022308213968984,-34.2391507937326,2.62424613705276,0.0292000006884336,8.747055702893103,18.798029793227105,17.71527388874322,17.444753096949164,17.31961622730661,17.20719854367666,20.78265061160539,0.290912776908717,,,,,,,,,,,,,,,,,,0.3956576614366085,10.49698454821104,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-77441.53030901129,-110880.0763124488,0,-15.679646575433535,-33.74853098704035,False
5,858,345661172906423,-16.076120865596977,-34.1472059783312,6.03012831723619,0.0285000000149011,9.89792023552544,17.397563450621437,16.007021357360124,15.44028872201804,15.169991569937356,14.959519003158531,20.584796172476256,0.521801680958853,,,,,,,,,,,,,,,,,,0.8370297874227663,24.12051326894476,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-89603.18957693773,-90100.54803173292,0,-15.679646575433535,-33.74853098704035,False
6,823,344650721412851,-15.821616945181972,-34.6124681935264,2.98312495252021,0.0285999998450279,8.25698010473746,19.8828657545345,18.91128998969387,18.630661572934088,18.51011000638003,18.513823312598788,22.2468934786596,0.519929355025177,,,,,,,,,,,,,,,,,,0.4011799833138383,11.93249981008084,,,False,True,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-32085.30356314674,-195249.80866584717,0,-15.679646575433535,-33.74853098704035,False
7,867,345660771506069,-15.671970965339028,-34.1776039449182,4.28031544042318,0.0597999989986419,10.045222966510428,19.59809292547425,17.939819940333805,17.1939580763078,16.837534362300463,16.54639491181291,21.594211636972435,0.6882293867154929,,,,,,,,,,,,,,,,,,1.1022855780333425,17.12126176169272,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,1734.687881358635,-96970.48848039401,0,-15.679646575433535,-33.74853098704035,False
8,824,344650310313287,-15.405557808656,-34.5755051752817,2.78721830510401,0.0280399993062019,8.615914164568554,20.85519286307144,19.37710395046373,18.74484410248224,18.467831187890194,18.331727071488668,22.213573712084525,0.3675836160343639,,,,,,,,,,,,,,,,,,0.90927276257354,11.14887322041604,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,61944.06129172284,-186896.1665425454,0,-15.679646575433535,-33.74853098704035,False
9,870,345660703306940,-15.603270890512022,-34.105041623307,5.43196749445603,0.0401999987661838,9.52136995053229,18.82244321546966,17.56312655680533,17.055112762654474,16.7687461949643,16.584259783328708,21.97277325643998,0.685954308057052,,,,,,,,,,,,,,,,,,0.7943803618410286,21.72786997782412,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,17260.90479226212,-80571.40379626413,0,-15.679646575433535,-33.74853098704035,False
