,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
0,0,350680002702129,-9.910971362322982,-32.5040738950966,3.40038402540648,0.0406426787376403,10.249397174510673,18.77989831193228,16.98416525484025,16.156057670329062,15.748783707086144,15.49877776200736,20.056572188300464,0.6206124588074651,,,,,,,,,,,,,,,,,,1.2353815477541057,13.60153610162592,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,59,0,1.0
1,1,350690039208761,-9.857194803664015,-31.0516985228406,3.35401016722297,0.0632999986410141,10.64705283201898,17.98827429656488,16.361786130464523,15.680619275493653,15.32930976226992,15.058709529188674,19.55131583111084,0.1225050934028519,,,,,,,,,,,,,,,,,,1.0324763681946043,13.41604066889188,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,49,0,1.0
2,2,350690119007158,-9.93401256993002,-31.1856365957318,2.26795571804731,0.0531000010669231,10.09934008214965,19.08561193341133,17.455476467572815,16.716107084100308,16.38949818949548,16.158152283733926,19.737154619242794,0.1691682279066939,,,,,,,,,,,,,,,,,,1.0659782780773348,9.07182287218924,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,39,0,1.0
3,3,350700032909280,-9.758000032090024,-30.0084845753691,2.92223922615846,0.0529999993741512,10.542420856800362,18.61389563477801,16.71888380525039,15.898581206813374,15.516866234758444,15.287560329045128,19.47003471920919,0.0150310279564339,,,,,,,,,,,,,,,,,,1.202017570491945,11.68895690463384,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,39,0,1.0
4,4,350700087601507,-9.806738289400982,-30.6564346736376,3.87511374445398,0.0358981676399707,10.1738979587341,17.58403258293022,16.187936351138788,15.55954477615201,15.213825870442651,15.003955939164642,19.74384173127798,0.481307987883636,,,,,,,,,,,,,,,,,,0.9741104806961348,15.50045497781592,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,71,0,4.0
5,5,350700038801817,-9.759639817057009,-30.630381266636,3.50243432591698,0.0358700007200241,8.957282285964075,20.70237141658824,19.17539183480164,18.65238598395793,18.22024943036384,18.41548999398596,22.617110668624,0.505427180575426,,,,,,,,,,,,,,,,,,0.955142404437801,14.00973730366792,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,60,0,9.0
6,6,351690654304280,-9.255321290038978,-31.4266993996715,3.88819251696287,0.0775403082370758,11.05123067805453,18.26599609509745,16.264330572909614,15.40889805693134,15.052979959740751,14.778522728046662,19.600511539208355,0.3739569925628849,,,,,,,,,,,,,,,,,,1.2113506131688627,15.55277006785148,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,49,0,9.0
7,7,351690874909260,-9.470007670326993,-31.0115976371577,3.49177924223824,0.035300001502037,9.95380900534694,18.622798876267723,16.87217526631192,16.17628015236224,15.836644735224487,15.60196355275433,20.134388728468583,0.34537586947549,,,,,,,,,,,,,,,,,,1.0355305310874332,13.96711696895296,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,39,0,1.0
8,8,351690656804296,-9.25776334538,-31.4253669113604,5.1641808011498,0.0774900019168853,11.017318621252318,18.24691420493331,16.294957023206585,15.451843782781031,15.102825626539513,14.84455721124344,20.259725658405333,0.126074576798567,,,,,,,,,,,,,,,,,,1.192131396667074,20.6567232045992,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,71,0,8.0
9,9,351690954307883,-9.547507549180011,-31.1262218125174,8.8981491785355,0.036200001835823,9.904424120851331,16.828907444137265,15.661456654716076,15.326283215502087,15.128120769968124,14.998942244867273,21.315656309597447,0.310322606250448,,,,,,,,,,,,,,,,,,0.5333358847479523,35.592596714142,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,39,0,5.0
