,Unnamed: 0,CATID,RA,DEC,Re,z,Mstar,GAL_MAG_G,GAL_MAG_R,GAL_MAG_I,GAL_MAG_Z,GAL_MU_E_R,GAL_MAG_U,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,Ellipticity_r,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re
1913,7566,2810,338.9199962652473,1.4848846496396906,12.794976234436035,0.0579801110273427,11.671274459288632,14.881593704223633,13.848125457763672,13.342684745788574,13.04152011871338,20.58149407371466,,,,,,,,,,,,,,,,1.5389089584350586,51.17990493774414,,
1929,7597,1621,340.02175925629365,-0.8077068754215624,4.566993236541748,0.05319816,11.323879511507531,15.302247047424316,14.31118106842041,13.88648796081543,13.581920623779297,18.85507052266336,,,,,,,,,,,,,,,,1.4157590866088867,18.267972946166992,,
1931,7606,5431,337.05272088891263,0.5432002798389957,7.61170482635498,0.05838219,11.389184160653626,15.323121070861816,14.345022201538086,13.824637413024902,13.615433692932127,19.882143581254965,,,,,,,,,,,,,,,,1.498483657836914,30.44681930541992,,
1940,7624,762,336.876692100546,-2.3389473956729336,4.784624099731445,0.0538372449649817,11.256534277694673,15.37742805480957,14.42928695678711,14.001269340515137,13.736620903015137,19.062692755565017,,,,,,,,,,,,,,,,1.3761587142944336,19.13849639892578,,
1952,7647,2628,340.8373117536684,0.4733774761712195,7.574594020843506,0.05790814,11.170173188601058,15.433460235595703,14.51508903503418,14.328985214233398,13.834416389465332,20.356289069503976,,,,,,,,,,,,,,,,1.104475021362305,30.298376083374023,,
1955,7659,4079,336.610796538609,-1.477747608722388,25.114229202270508,0.0570094395103161,10.416710597474696,15.230419158935549,14.561613082885742,15.31790542602539,14.059840202331545,23.80731331221126,,,,,,,,,,,,,,,,-0.0874862670898437,100.45691680908205,,
1973,7689,1314,340.8038023546643,-1.567484107177841,3.8203940391540527,0.0596012325300058,11.302359651806912,15.643969535827637,14.653190612792969,14.203949928283691,13.907365798950195,18.78215864731136,,,,,,,,,,,,,,,,1.440019607543945,15.281576156616213,,
1974,7691,5653,339.6694079759164,0.1009646358083711,4.92022705078125,0.05904167,11.314041272057873,15.652854919433594,14.655149459838867,14.166082382202148,13.903804779052734,19.2999340400002,,,,,,,,,,,,,,,,1.486772537231445,19.680908203125,,
1977,7695,1071,333.05143159367657,-1.0850462768466431,8.922504425048828,0.0559587126104419,11.224998352464173,15.675284385681152,14.6629638671875,14.160677909851074,13.900357246398926,20.56597962334244,,,,,,,,,,,,,,,,1.514606475830078,35.69001770019531,,
1994,7722,38,335.9681286666057,-0.8714736987440728,11.073545455932615,0.053084985568253,10.63537700106134,15.52722454071045,14.733781814575195,15.016098022460938,14.09966278076172,21.794392946119245,,,,,,,,,,,,,,,,0.5111265182495117,44.29418182373047,,
1998,7726,2007,338.8413191626312,1.2054658922621355,4.832804203033447,0.0585250693163347,11.212432316080534,15.740910530090332,14.741506576538086,14.354942321777344,14.003803253173828,19.446205965219505,,,,,,,,,,,,,,,,1.3859682083129885,19.33121681213379,,
2000,7729,2340,339.8501381593229,-1.0377916303719847,4.362244129180908,0.0523459372416227,11.105923268432734,15.68476104736328,14.747356414794922,14.265439987182615,14.046454429626465,19.10265746420854,,,,,,,,,,,,,,,,1.419321060180664,17.448976516723633,,
2010,7751,6019,341.4364311144425,1.0910806628737193,4.504427909851074,0.05803369,11.185686143816689,15.779974937438965,14.799830436706545,14.370993614196776,14.064024925231934,19.29545093718081,,,,,,,,,,,,,,,,1.4089813232421875,18.017711639404297,,
2017,7766,3448,336.4987900389618,-2.230343018609612,4.261563777923584,0.0567025605427338,11.218481377784316,15.777533531188965,14.831587791442873,14.223210334777832,14.104576110839844,19.026502839297223,,,,,,,,,,,,,,,,1.5543231964111328,17.046255111694336,,
2034,7801,4773,335.38512873310594,0.2792704267138775,4.849225044250488,0.05778597,11.097171699195854,15.919618606567385,14.899632453918455,14.634817123413086,14.172337532043455,19.7269490788666,,,,,,,,,,,,,,,,1.2848014831542969,19.396900177001957,,
2037,7812,3791,340.74040335976434,-0.268900520384296,30.306909561157227,0.05922871,10.307049484748996,15.629722595214844,14.921356201171877,15.879926681518556,14.390713691711426,24.81975523370744,,,,,,,,,,,,,,,,-0.2502040863037109,121.2276382446289,,
2046,7830,4074,334.0127713223563,-1.9606974647514517,4.978660106658936,0.0570894948931637,10.997473213170991,15.912264823913574,14.950855255126951,14.69582176208496,14.23637580871582,19.83182681164761,,,,,,,,,,,,,,,,1.2164430618286133,19.914640426635746,,
2048,7832,7658,340.7650461094622,-0.1435718725084526,5.243556022644043,0.0552066218271752,10.978601989625584,15.895057678222656,14.951242446899414,14.719030380249023,14.245083808898926,19.962880960389608,,,,,,,,,,,,,,,,1.1760272979736328,20.97422409057617,,
2049,7833,1059,340.0006378477677,-0.8291934026257204,13.96653175354004,0.05349533,10.620578993079285,15.82069969177246,14.95195198059082,15.24362087249756,14.303261756896973,22.562888660787827,,,,,,,,,,,,,,,,0.5770788192749023,55.86612701416016,,
2056,7847,2501,343.77833238503314,0.9777702265287812,2.716681957244873,0.0533015,10.938633973779414,15.711858749389648,14.96318244934082,14.421424865722656,14.36699676513672,18.19439210671335,,,,,,,,,,,,,,,,1.2904338836669922,10.866727828979492,,
2060,7859,6386,337.6895490300846,-1.1575839055788502,7.916028022766113,0.0565277189952084,11.10336729540677,15.95970630645752,14.987326622009276,14.46843147277832,14.248180389404297,20.617335925651872,,,,,,,,,,,,,,,,1.4912748336791992,31.664112091064453,,
2063,7868,54,336.3805374377297,-2.1196974903610637,4.64578104019165,0.0577266023149921,11.087420285442825,15.979191780090332,14.997119903564451,14.59948444366455,14.27193832397461,19.54815051525148,,,,,,,,,,,,,,,,1.3797073364257812,18.5831241607666,,
2074,7896,3844,340.14565995268345,-0.7334345036949909,3.337794065475464,0.0536564045372717,10.973204507364333,15.993559837341309,15.035752296447754,14.70131778717041,14.324840545654297,18.97159205026525,,,,,,,,,,,,,,,,1.2922420501708984,13.351176261901855,,
