ID,RA,DEC,e_raj2000,e_dej2000,smss_j,mean_epoch,rms_epoch,glon,glat,flags,nimaflags,ngood,ngood_min,nch_max,density,u_flags,u_nimaflags,u_ngood,u_nch,u_nclip,v_flags,v_nimaflags,v_ngood,v_nch,v_nclip,g_flags,g_nimaflags,g_ngood,g_nch,g_nclip,r_flags,r_nimaflags,r_ngood,r_nch,r_nclip,i_flags,i_nimaflags,i_ngood,i_nch,i_nclip,z_flags,z_nimaflags,z_ngood,z_nch,z_nclip,class_star,flags_psf,radius_petro,u_mag,e_u_psf,u_rchi2var,u_petro,e_u_petro,v_mag,e_v_psf,v_rchi2var,v_petro,e_v_petro,g_mag,e_g_psf,g_rchi2var,g_petro,e_g_petro,r_mag,e_r_psf,r_rchi2var,r_petro,e_r_petro,i_mag,e_i_psf,i_rchi2var,i_petro,e_i_petro,z_mag,e_z_psf,z_rchi2var,z_petro,e_z_petro,ebmv_sfd,prox,prox_id,dr1_id,dr1_dist,twomass_key,twomass_dist,allwise_cntr,allwise_dist,ucac4_mpos,ucac4_dist,refcat2_id,refcat2_dist,ps1_dr1_id,ps1_dr1_dist,galex_guv_id,galex_guv_dist,gaia_dr2_id1,gaia_dr2_dist1,gaia_dr2_id2,gaia_dr2_dist2,ref_epoch,ra,dec,pmRA,pmDEC,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,RA_pmcorr,DEC_pmcorr
10042975,18.351302,-31.639373,32,19,011324.31-313821.7,57341.7105,60.5473,257.562,-83.4256,0,1,24,3,1,1.0,0,0,5,1,0,0,0,5,1,0,0,0,4,1,0,0,1,4,1,0,0,0,3,1,1,0,0,3,1,1,0.99,0,4.57,16.9549,0.0117,1.876,17.0528,0.0543,16.5955,0.0093,2.084,16.6038,0.0223,14.0404,0.0053,0.148,14.0513,0.0059,13.1558,0.0082,2.42,13.1622,0.0116,12.1967,0.0075,7.465,12.2004,0.0118,11.8267,0.0069,5.058,11.8359,0.0062,0.0275,15.0,,6671474,0.02,143923820,1.61,176031901351051520,0.52,57314468,1.61,2123088,0.03,,,6380802662829392896,2.09,5027135082529822720,0.03,,,2015.5,18.351307242084083,-31.639379484464143,94.50313770567129,-36.83434153527846,12.894331,13.941265,11.889166,18.351500274293013,-31.639438794321205
9853334,12.070642,-29.329129,243,22,004816.95-291944.8,57128.6314,180.259,320.272,-87.692,0,4,17,1,1,1.0,0,0,3,1,1,0,0,4,1,0,0,0,2,1,0,0,0,1,1,0,0,0,3,1,0,0,4,4,1,0,1.0,0,4.05,17.039,0.0119,15.309,17.0444,0.0197,16.6489,0.0104,3.097,16.6679,0.0203,14.0512,0.008,0.295,14.0697,0.0423,13.1801,0.0105,0.0,13.2066,0.0108,12.2721,0.0061,0.097,12.2651,0.0144,11.9267,0.0053,0.614,11.93,0.012,0.0234,15.0,,6591878,0.19,521639226,1.3,120028801351005216,0.42,61492778,1.29,1428826,0.28,72800120705085280,0.25,6380802590888691712,1.95,5032161877892660096,0.28,5032162084050592768,14.51,2015.5,12.070679408603633,-29.329200217761155,88.3094378711959,-30.38519635816636,12.944913,13.963071,11.958386,12.070822932613373,-29.32918327471884
9620166,11.758909,-32.02039,26,20,004702.13-320113.4,57263.1311,121.46,313.734,-85.0152,0,2,18,2,1,1.0,0,0,2,1,0,0,0,2,1,1,0,0,5,1,0,0,1,3,1,0,0,0,2,1,1,0,1,4,1,0,1.0,0,4.04,16.8939,0.0531,25.228,16.9571,0.0389,16.6152,0.0074,70.328,16.6172,0.0145,14.0667,0.0062,1.686,14.064,0.0121,13.2091,0.0088,2.11,13.202,0.0169,12.5112,0.0074,6.152,12.5048,0.0218,12.2387,0.0053,0.321,12.2364,0.0092,0.0152,15.0,,6490059,0.05,1170222133,0.66,123031901351013744,0.11,56687891,0.74,1316788,0.2,,,,,5007490898549763712,0.2,,,2015.5,11.758952746141736,-32.020431356021255,61.087129604479,-17.689556293138573,13.099578,13.974892,12.186341,11.75903769524778,-32.020421597488024
9562730,13.043843,-34.133976,33,27,005210.52-340802.3,57275.6041,74.6018,301.681,-82.9925,0,11,28,3,1,1.0,0,0,3,1,1,0,0,4,1,0,0,0,6,1,0,0,3,4,1,0,0,0,4,1,0,0,8,7,1,0,0.999,0,4.84,17.1319,0.0272,23.281,17.1972,0.045,16.7469,0.0364,36.54,16.7581,0.0267,14.1538,0.0043,0.962,14.1505,0.0077,13.2433,0.0076,2.044,13.235,0.0129,12.2941,0.0053,0.158,12.2958,0.0093,11.952,0.004,0.743,11.9525,0.0109,0.0171,15.0,,6467860,0.03,142968812,0.29,127034901351056048,0.11,53272088,0.26,1552680,0.07,,,6380802640280814592,8.32,5003315331344553600,0.07,5003315327049342976,7.05,2015.5,13.04384689754635,-34.13399453493206,19.85527221062888,-5.432541925028612,13.001373,14.041083,12.00148,13.043885847442018,-34.13398570374253
10205617,19.58483,-30.102827,55,32,011820.35-300610.1,57211.3388,62.7304,241.256,-83.3909,0,11,41,4,1,1.0,0,0,4,1,2,0,2,6,1,0,0,0,7,1,0,0,6,7,1,0,0,0,8,1,0,0,3,9,1,0,0.999,0,4.53,17.0511,0.0069,6.816,17.067,0.0902,16.7779,0.0081,2.636,16.761,0.0196,14.1116,0.004,0.615,14.113,0.0055,13.2553,0.005,1.465,13.2528,0.0104,12.5452,0.0037,0.584,12.534,0.0124,12.2883,0.0036,0.672,12.2844,0.0099,0.0186,15.0,,6736820,0.01,144001473,1.47,191030301351049472,0.24,59980505,1.4,2230878,0.33,71870195847146920,0.31,6385235829288079360,2.55,5028829670466172800,0.33,,,2015.5,19.584913104437078,-30.102885363625024,93.24071991030999,-60.74761915176627,13.1489525,14.02392,12.237607,19.585022514259553,-30.102935508862604
10175426,14.802837,-29.743053,18,17,005912.68-294434.9,57251.2697,66.3999,270.224,-86.8765,0,4,27,3,1,1.0,0,0,3,1,0,0,0,4,1,0,0,0,4,1,0,0,0,4,1,0,0,2,5,1,0,0,2,7,1,0,1.0,0,4.11,16.9322,0.0069,0.859,16.9488,0.0255,16.5919,0.0101,2.272,16.6003,0.0232,14.0498,0.0098,3.134,14.0454,0.0114,13.2633,0.0069,1.552,13.2505,0.0066,12.6496,0.0051,0.79,12.6323,0.0111,12.4086,0.0046,0.498,12.4021,0.0073,0.0177,15.0,,6726525,0.01,521804068,0.32,156030301351064960,0.06,60680196,0.35,1667231,0.33,72300148027998672,0.32,,,5031478222178714240,0.33,,,2015.5,14.802812833530858,-29.743143183364666,-22.341918755933605,-23.162766624703757,13.300906,13.988956,12.323237,14.802791037051746,-29.743094373938014
9585523,8.331858,-32.599448,31,38,003319.64-323558.0,57184.6887,48.9794,337.493,-83.2676,0,4,33,4,1,1.0,0,0,4,1,1,0,0,4,1,1,0,0,7,1,0,0,1,5,1,0,0,0,6,1,0,0,3,7,1,0,0.995,0,4.37,16.9939,0.0256,22.007,17.0426,0.0529,16.6474,0.0075,12.393,16.611,0.0235,14.0902,0.0051,1.648,14.1009,0.0046,13.264,0.0049,1.085,13.271,0.0065,12.5388,0.0043,0.19,12.5424,0.0049,12.2572,0.004,0.057,12.2628,0.0083,0.0168,15.0,,6476677,0.05,98984938,0.69,89033401351065152,0.18,55742045,0.66,974382,0.1,,,6380802615584753664,1.58,2317108128611492480,0.1,,,2015.5,8.331870911038356,-32.599472826435964,-10.682418980007673,-45.240835734690755,13.145854,14.024519,12.231404,8.331835351641733,-32.59952880632974
9950364,15.190564,-34.667357,38,38,010045.73-344002.4,57255.6124,73.9735,288.66,-82.2008,0,17,44,6,1,1.0,0,0,7,1,0,0,0,6,1,1,0,1,9,1,0,0,6,6,1,0,0,7,8,1,0,0,3,8,1,0,1.0,0,4.5,17.1102,0.0184,10.12,17.1364,0.0634,16.7892,0.0061,17.655,16.7508,0.0296,14.1487,0.0043,1.441,14.1643,0.006,13.273,0.0053,1.368,13.2751,0.0045,12.4128,0.0039,1.033,12.4263,0.0037,12.1037,0.0041,1.211,12.1136,0.0055,0.0152,15.0,,6636401,0.06,143101818,0.73,146034901351048416,0.17,52401979,0.69,1788658,0.1,,,6380802654239460352,4.33,5002336697276909824,0.1,,,2015.5,15.190594843730013,-34.66737096634725,47.380769385770144,-17.184204329746404,13.085421,14.0572815,12.116464,15.19066690101141,-34.667387694836734
10209753,19.030584,-29.413285,39,24,011607.34-292447.8,57215.6926,43.3714,237.177,-84.1053,0,0,32,4,1,1.0,0,0,4,1,1,0,0,5,1,1,0,0,7,1,0,0,0,5,1,0,0,0,5,1,0,0,0,6,1,0,0.997,0,4.51,16.9941,0.0124,3.986,17.0984,0.0289,16.742,0.0091,4.3,16.74,0.0262,14.1764,0.0067,2.758,14.1793,0.0067,13.2743,0.0047,0.589,13.2862,0.005,12.2275,0.0053,1.275,12.2268,0.014,11.8487,0.0043,0.137,11.8519,0.0104,0.0183,15.0,,6738031,0.04,108268266,0.39,188028801351005216,0.15,61336878,0.36,2229704,0.21,72700190305174272,0.18,,,5029674816950954112,0.21,,,2015.5,19.030631427690214,-29.413324911790085,32.81908718714139,-11.868407364898642,12.9655,14.064585,11.934101,19.03065129690698,-29.413306199646023
10161821,14.29569,-30.459097,25,27,005710.96-302732.7,57108.4216,100.425,282.574,-86.4394,0,9,29,4,1,1.0,0,0,6,1,0,0,2,4,1,2,0,0,5,1,0,0,2,4,1,0,0,5,5,1,1,0,0,5,1,0,1.0,0,4.25,16.9933,0.0243,15.294,16.9996,0.0473,16.6727,0.0084,19.793,16.7096,0.0244,14.0658,0.005,1.127,14.0754,0.0068,13.2824,0.0074,1.796,13.2944,0.0076,12.704,0.0073,5.989,12.7135,0.0094,12.4963,0.0049,1.079,12.5129,0.0097,0.0246,15.0,,6721647,0.03,143052060,1.16,139030301351021600,0.39,59356971,1.08,1668031,0.2,71440142958079456,0.28,,,5031057933858680960,0.2,,,2015.5,14.295732156495712,-30.45913957852968,-29.139406712362437,-67.96482255820929,13.231389,14.0098,12.382261,14.295629616971523,-30.459218400548515
