,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,177971279806299,176.016404674797,-2.55836730343542,10.4709684255441,0.044088389724493,10.393734939187976,16.903830533937366,15.577945032704722,15.044645552360551,14.783564347352282,14.65092435792516,21.38745448414254,0.259246840448641,,,,,,,,,,,,,,,,,,0.79438068535244,41.8838737021764,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-480.0501620773616,-48051.60868479384,0,176.0185287905584,-2.3457495658920844,False
1,176980877904594,175.851727603214,-1.70053515689207,2.78284858705512,0.0450000017881393,9.653005473272747,19.70721933777781,18.197002801239258,17.433395673322472,17.140334932611218,17.288504366482428,20.898718241569316,0.484714349783796,,,,,,,,,,,,,,,,,,1.0566678686280395,11.13139434822048,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-37697.06833983861,145818.45643400328,0,176.0185287905584,-2.3457495658920844,False
2,177970845105946,176.379001921632,-2.58786916829254,3.47122944643015,0.0443699993193149,8.990170609687103,20.543620618406194,19.133687556616454,18.619777128418093,18.32722404837218,18.291681006317223,22.565068416432005,0.414690067716564,,,,,,,,,,,,,,,,,,0.8064635082442777,13.8849177857206,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,81466.92762263455,-54719.03014250295,0,176.0185287905584,-2.3457495658920844,False
3,176980350403709,176.291508909617,-1.77426662171825,2.62595091851246,0.0253500007092952,8.505059456735513,21.482786812361425,19.563181284027912,18.866944838249857,18.60888528289873,18.468042799165147,22.206252542274186,0.162510755456995,,,,,,,,,,,,,,,,,,0.9542960011291832,10.50380367404984,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,61693.50690724076,129155.1453832866,0,176.0185287905584,-2.3457495658920844,False
4,177980942902332,176.79752046847,-1.88902390068964,3.45847917449639,0.0948628187179565,11.124705102236518,18.72405199192696,16.731510424645045,15.820586617639773,15.4334141924618,15.164614442692686,19.757887123796543,0.0770196692992369,,,,,,,,,,,,,,,,,,1.2980962321832443,13.83391669798556,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,176052.11920801963,103220.0003357524,0,176.0185287905584,-2.3457495658920844,False
5,176980483803477,176.180293707016,-1.79361355529748,2.66708983221145,0.0438299998641014,8.84597567507534,19.67281754312565,18.625926516613355,18.27529712953664,18.12460567364596,18.05509242375611,21.648360029910137,0.1131728538605619,,,,,,,,,,,,,,,,,,0.5013208429673952,10.6683593288458,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,36558.87111941746,124782.73839438062,0,176.0185287905584,-2.3457495658920844,False
6,177970849809408,176.375108737586,-2.29937036321921,2.00937747346226,0.0588000006973743,9.721445447247891,18.917263346040137,17.664336440635545,17.21211703468715,16.943064298799023,16.873697903224013,19.97029936244027,0.422306048730831,,,,,,,,,,,,,,,,,,0.721272141836522,8.03750989384904,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,80587.06802823707,10481.69980406962,0,176.0185287905584,-2.3457495658920844,False
7,176970788702695,175.42603443861,-2.85878459873092,2.87214200613103,0.0549000017344951,10.579928656365045,18.068864672949907,16.270201594509288,15.537758929821416,15.22373523915921,14.967225221599442,19.071663155275846,0.501598094564017,,,,,,,,,,,,,,,,,,1.0464663553500788,11.48856802452412,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-133903.72354033912,-115945.91742157684,0,176.0185287905584,-2.3457495658920844,False
8,177970438209699,176.718377738142,-2.27510964683362,4.7870928954206,0.0518999993801116,10.661853091494446,18.337719773552315,16.532467910727306,15.688983154015368,15.27381086916002,15.027735959133643,20.332217111845544,0.613702229576201,,,,,,,,,,,,,,,,,,1.258657041567286,19.1483715816824,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,158165.86215389447,15964.621707212942,0,176.0185287905584,-2.3457495658920844,False
9,177971003907717,176.246563623005,-2.44026784432283,6.45695468237891,0.0467000417411327,9.707775902114015,17.98927901732433,16.798255601335082,16.440860844857543,16.227238541370305,16.13350075320433,21.733874218369763,0.577641315959759,,,,,,,,,,,,,,,,,,0.5710170599647775,25.82781872951564,,,False,True,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,51535.87213292752,-21361.130925348472,0,176.0185287905584,-2.3457495658920844,False
