,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
0,176000710412637,174.991374054518,0.969697800286235,4.61974273831609,0.0406300015747547,8.929305437011887,19.70652462600908,18.579887237406115,18.20105791539608,17.961484300754393,17.869850789166833,22.767021554521808,0.696508009358203,,,,,,,,,,,,,,,,,,0.618402936651723,18.47897095326436,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,64,0,8.0
1,176001048307456,174.709781420147,0.537951427013244,6.5145433367392,0.0283100008964538,9.060446816943356,18.549684071148167,17.425332632501544,17.044504909976794,16.827294719411263,16.72010201001421,22.356799479149824,0.168346486240562,,,,,,,,,,,,,,,,,,0.5980379130902804,26.0581733469568,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,56,0,8.0
2,175010230910792,174.391142757412,1.81591284354472,2.91871108745194,0.0754999965429306,10.809234001636948,18.738381898956646,16.802848241403012,15.989794347699403,15.595670090505235,15.309477386555972,19.558624568891368,0.127220631389181,,,,,,,,,,,,,,,,,,1.2071781508977768,11.67484434980776,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,56,0,8.0
3,176010777605017,174.935357757756,1.3347079427258,5.13756549016044,0.0760200023651123,10.65789540072508,18.052476266885247,16.60773606437917,15.927098875649277,15.614347414950656,15.349586775252568,20.723760412422287,0.0465613769059189,,,,,,,,,,,,,,,,,,0.9933886494285158,20.55026196064176,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,30,0,1.0
4,175000030905234,174.557616124569,0.352775283532896,2.93460025400308,0.0970999971032142,11.061805606253564,18.563364497592588,16.70447240219377,15.850441045261332,15.490874947097318,15.193256482535334,19.431060480972175,0.240521626920406,,,,,,,,,,,,,,,,,,1.2135974550964512,11.73840101601232,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,18,0,1.0
5,175000172112888,174.439999317635,0.990583804661544,3.97581950364396,0.0998999997973442,11.238465109581648,18.43043996102049,16.46377791449651,15.595668411508964,15.197887371592408,14.902083514988783,19.835676392455728,0.221372334628753,,,,,,,,,,,,,,,,,,1.2658905429041027,15.90327801457584,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,56,0,8.0
6,175000013108362,174.572470974185,0.613427566819697,8.00043021544758,0.0031999999191612,7.422080753470583,17.70707661666301,16.51671564304153,16.181845416471656,16.02628141139722,15.923037230404631,21.940286805148737,0.2132599198041309,,,,,,,,,,,,,,,,,,0.4904342316443077,32.00172086179032,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,18,0,1.0
7,175000240704287,174.382787363453,0.273870061982509,5.93919787124005,0.0182000007480382,8.162294333689651,19.14166335484857,18.218536860654147,17.92806005180304,17.802543937503977,17.73293999537626,23.039573706241185,0.478902106564789,,,,,,,,,,,,,,,,,,0.4159929231501706,23.7567914849602,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,18,0,1.0
8,175000179607028,174.433716715222,0.502277276403219,3.86609840935314,0.0268300008028745,8.228794103389193,19.990185633111096,18.855353207389317,18.598361231913454,18.450397333782163,18.36573285960264,22.777600436419647,0.159079893117526,,,,,,,,,,,,,,,,,,0.4049558736071503,15.46439363741256,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,18,0,1.0
9,175990246802371,175.37773943959,-0.885766589319143,6.4619147987184,0.0549000017344951,9.605210971574632,19.01247734047085,17.73345287946808,17.278749720744397,17.04018458646923,16.925698642572527,22.5734305398987,0.6217913045284851,,,,,,,,,,,,,,,,,,0.6932682929988481,25.8476591948736,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,12,0,1.0
10,175990579201150,175.10071954371,-0.987528374583551,2.18618244998188,0.0286299996078014,8.499990491608655,19.980981391870458,18.85732569735508,18.429990411112875,18.25682648022353,18.120539666924003,21.371297110820244,0.4123209705159659,,,,,,,,,,,,,,,,,,0.6004992171315457,8.74472979992752,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,38,0,1.0
11,175990398101358,175.25165098629,-0.970188421456704,3.96898863625375,0.0289131607860326,8.783840473070628,19.055694641396972,17.94056468369316,17.586498938078186,17.422565172859393,17.345752356672193,21.822772897141785,0.124145804712889,,,,,,,,,,,,,,,,,,0.5179995108337678,15.875954545015,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,38,0,1.0
12,175990078603980,175.517900470393,-0.7516760087812,3.90562901914472,0.0411599986255168,8.848332020036365,19.774339748683374,18.668759070428496,18.327488603545973,18.101449845921003,18.079734531796724,22.52881822992535,0.650115289982956,,,,,,,,,,,,,,,,,,0.5673092245074933,15.62251607657888,,,False,True,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,38,0,9.0
13,175990340904307,175.299310573353,-0.724447301047018,4.24781635599487,0.0278600007295608,8.516403146792715,20.468384719037548,19.16729793999392,18.754407880351785,18.418827198938217,18.33394710689332,23.13811122615704,0.218773736098099,,,,,,,,,,,,,,,,,,0.748470741055705,16.99126542397948,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,38,0,1.0
14,175980229310569,175.392366680491,-1.20259947914762,2.45759079375111,0.0776329636573791,10.866408195705995,18.99479862341667,16.9978300615398,16.08712048287544,15.688597696633927,15.39175128612676,19.282543021946925,0.282936024842907,,,,,,,,,,,,,,,,,,1.3092323649058724,9.83036317500444,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,12,0,5.0
15,175980582508906,175.097984706175,-1.34120677932935,6.36798287764359,0.053115639835596,9.924209922078964,18.174444443216004,16.926496410721555,16.481722150323595,16.211412948582286,16.057725776958293,21.744606267017527,0.228095437611177,,,,,,,,,,,,,,,,,,0.715083462139269,25.47193151057436,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,12,0,1.0
16,175980429801262,175.225333619532,-1.97818194342176,5.48663737134781,0.0439300015568733,8.771415788119281,20.04751030397117,18.920166915460698,18.56062877285809,18.3815310906041,18.23076579430068,23.500034741060496,0.61742009765407,,,,,,,,,,,,,,,,,,0.5386358248565983,21.94654948539124,,,False,True,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,25,0,9.0
17,175980507402480,175.160623932602,-1.87669553599673,3.65713105074835,0.0218400005251169,8.240298421667314,20.055587699044302,19.180571015743965,18.91010734100421,18.48826029823845,18.87645707420863,22.968684639027927,0.580873386616843,,,,,,,,,,,,,,,,,,0.6923107175055137,14.6285242029934,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,12,0,1.0
18,176971028804664,175.225742072499,-2.69467675808485,4.80144708042793,0.0194000005722045,10.122847761597598,17.073768759272426,15.254728312506206,14.527307356427134,14.18870338690079,13.895678449627646,19.17704277121893,0.1332804950339869,,,,,,,,,,,,,,,,,,1.066024925605415,19.20578832171172,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,9.0
19,176970545409982,175.628973140678,-2.25153752558472,5.76012534842601,0.047699999064207,11.02194467156287,17.112481089919665,15.20786689271317,14.39427479571427,14.038744337568293,13.74074593657306,19.43930914937244,0.267227805714719,,,,,,,,,,,,,,,,,,1.1691225551448792,23.04050139370404,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,9.0
20,176970788702695,175.42603443861,-2.85878459873092,2.87214200613103,0.0549000017344951,10.579928656365045,18.068864672949907,16.270201594509288,15.537758929821416,15.22373523915921,14.967225221599442,19.071663155275846,0.501598094564017,,,,,,,,,,,,,,,,,,1.0464663553500788,11.48856802452412,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,9.0
21,176970968106434,175.276405285372,-2.54718895221702,2.16496661798328,0.0522999987006187,10.315260596115388,18.75997423735145,16.956072562785216,16.193916626471864,15.86387621424912,15.593690723928074,19.114047329581545,0.1528688037022719,,,,,,,,,,,,,,,,,,1.0921963485360957,8.65986647193312,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,5.0
22,176970961903165,175.281531630538,-2.81960122049852,7.18677365977825,0.0289999991655349,10.228628015755946,16.844807238281636,15.418890660126108,14.8004628872211,14.509014078578566,14.270439079326753,20.326007405973428,0.5227930673758621,,,,,,,,,,,,,,,,,,0.9098765815475414,28.747094639113,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,9,0,9.0
23,176970078003193,176.018980139314,-2.81717303693085,3.23040273884139,0.0373999997973442,10.15953601396485,17.951320659852584,16.369848654660984,15.68089636674316,15.374405370474124,15.141409669610914,19.47005439752262,0.077433658939974,,,,,,,,,,,,,,,,,,0.9954432841868588,12.92161095536556,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,14,0,1.0
24,176970733503584,175.472092391399,-2.78470566022394,1.72274600245113,0.0562000013887882,9.980632535143318,18.121300681197468,17.036901877752076,16.556884880413072,16.273692841403165,16.133933638832218,18.980865816291065,0.0292910467695659,,,,,,,,,,,,,,,,,,0.7632090363489112,6.89098400980452,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,1.0
25,176970976202625,175.269592985437,-2.86459695399777,3.36569122098204,0.0538000017404556,10.310780085266556,17.727322930866965,16.427134308513917,15.855694660245726,15.552410363218604,15.370828476900853,19.73394069166128,0.3627252297676789,,,,,,,,,,,,,,,,,,0.8747239452953135,13.46276488392816,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,5.0
26,176970538106921,175.635087337805,-2.50661804189871,4.64494884782096,0.0531999990344047,10.42381069649206,18.182926741735933,16.675983577891117,15.959132341332714,15.599946505531562,15.339997711957563,20.53691170165778,0.4557046110356409,,,,,,,,,,,,,,,,,,1.0760370723595545,18.57979539128384,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,1.0
27,176971190704559,175.090678971932,-2.70338859297687,5.8750842234284,0.0223999992012977,9.71072169333451,16.7422920623073,15.492141528745227,15.052183051658332,14.8239245155107,14.671980885552752,20.140128217906597,0.302722684294662,,,,,,,,,,,,,,,,,,0.6682170132345302,23.5003368937136,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,1.0
28,176970859309992,175.367190704699,-2.25070386617767,4.14451667228078,0.0480999983847141,10.178617897867383,18.085716277768555,16.60632532999397,16.01138501004446,15.700878505849785,15.504245220269564,20.341629146910368,0.179704324937865,,,,,,,,,,,,,,,,,,0.9054468241441872,16.57806668912312,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,1.0
29,176970578406177,175.601476778998,-2.56862094393812,1.82755792410758,0.0434050299227237,9.624753482712697,19.05470311485796,17.745759941319115,17.15519882608131,16.850514978139152,16.635674841126015,19.707429261469905,0.2169704443500849,,,,,,,,,,,,,,,,,,0.8952449631799624,7.31023169643032,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,5.0
30,176970989404083,175.258601988591,-2.74309923146004,3.7086379821465,0.0535699985921382,10.1122858510025,18.99576663198396,17.417905279308115,16.714165506273716,16.360528569163975,16.111930952388505,20.803112397211432,0.61801887730995,,,,,,,,,,,,,,,,,,1.0573767101441405,14.834551928586,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,25,0,9.0
31,176970485408671,175.679025837724,-2.36078042935527,5.43779036812407,0.0241406597197055,9.37464551820675,16.729996247808828,15.710609293257642,15.448991604771797,15.325022683613405,15.199055180971005,20.368978592097196,0.405062254680421,,,,,,,,,,,,,,,,,,0.3855866096442391,21.75116147249628,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,14,0,1.0
32,176970352310723,175.789996718414,-2.18976667623262,3.06393946704146,0.0596995800733566,10.182192465138485,19.17556107445766,17.398537624098296,16.714216000978578,16.367168058758764,16.125897041920837,20.388491587076867,0.424390284016154,,,,,,,,,,,,,,,,,,1.0313695653395314,12.25575786816584,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,6,0,9.0
33,176971013709568,175.238420458073,-2.28601886240637,2.17796572835791,0.048599999397993,9.721789877572554,19.576057310174512,18.07230306170452,17.382919780139098,17.05735144418543,16.859266203974556,20.31604966977636,0.030419695262725,,,,,,,,,,,,,,,,,,1.0149516175190882,8.71186291343164,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,1.0
34,176971101509378,175.165193979741,-2.30183653200643,5.74436801690416,0.048200000077486,10.376751820419935,17.939304009033307,16.437062502077325,15.759780453915443,15.415011813287398,15.198364129054886,20.798866413158063,0.579412151051707,,,,,,,,,,,,,,,,,,1.0220506887899266,22.97747206761664,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,9,0,1.0
35,176970452213850,175.706647656206,-1.92921467665942,2.77172884312796,0.0444220304489135,9.254415077187426,18.578134341968862,17.479018865945125,17.19931007740346,17.03359273978887,16.939225660090212,20.65593846514831,0.293366535560436,,,,,,,,,,,,,,,,,,0.4454261261562564,11.08691537251184,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,6,0,1.0
36,176970326301123,175.811868376264,-2.98973552680939,3.08971495944355,0.0597999989986419,9.882194128293548,18.740600767924068,17.43065308620566,16.937828823085386,16.661174261560056,16.49723597134082,20.630295582768877,0.1616165564259269,,,,,,,,,,,,,,,,,,0.7694788246456028,12.3588598377742,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,5.0
