,Unnamed: 0,CATID,RA,DEC,Re,z,Mstar,GAL_MAG_G,GAL_MAG_R,GAL_MAG_I,GAL_MAG_Z,GAL_MU_E_R,GAL_MAG_U,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,Ellipticity_r,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re
1900,7547,289,303.1138844313088,-56.82678531432976,26.29042625427246,0.0556374368406567,11.71557820768442,13.847708702087402,12.878335952758787,12.92098903656006,12.177773475646973,24.178594729967333,,,,,,,,,,,,,,,,0.9267196655273438,105.16170501708984,,
1901,7549,150,311.4676725304348,-51.10753782698223,20.706281661987305,0.0484968838008593,10.658516647587453,13.978233337402344,13.044149398803713,14.693431854248049,12.359378814697266,21.036888152178904,,,,,,,,,,,,,,,,-0.7151985168457031,82.82512664794922,,
1902,7550,1663,313.18555330166043,-53.25214789773483,13.812996864318848,0.0453547100240927,11.52921031081816,14.064023971557615,13.15620231628418,12.959245681762695,12.47775173187256,20.296447045091124,,,,,,,,,,,,,,,,1.104778289794922,55.25198745727539,,
1903,7551,3352,305.22129143159304,-52.68389998972517,13.322846412658691,0.0509685937462776,11.589309942100147,14.199152946472168,13.24453067779541,13.113598823547363,12.53533172607422,20.37931517928701,,,,,,,,,,,,,,,,1.085554122924805,53.291385650634766,,
1904,7552,4395,312.9872248617063,-52.62973052394915,17.34105682373047,0.0471442813948308,11.567524035304103,14.24071216583252,13.32343292236328,12.888063430786133,12.619539260864258,20.705825845105228,,,,,,,,,,,,,,,,1.3526487350463867,69.36422729492188,,
1905,7553,2817,315.2281064759143,-52.22412086469741,15.716662406921388,0.0495175899321656,11.50062353330682,14.27322483062744,13.35788631439209,13.12804889678955,12.690842628479004,20.733739071990428,,,,,,,,,,,,,,,,1.1451759338378906,62.86664962768555,,
1906,7556,4094,312.83299314917065,-52.63623823338255,8.28905200958252,0.0435456406042389,11.42404952471744,14.358758926391602,13.448139190673828,13.020950317382812,12.753893852233888,19.249863955404635,,,,,,,,,,,,,,,,1.337808609008789,33.15620803833008,,
1907,7558,1473,309.11347657306965,-52.28446371310544,7.758968830108643,0.0445374779908572,11.36780689572375,14.44572639465332,13.539583206176758,13.199511528015137,12.869467735290527,19.277694888595537,,,,,,,,,,,,,,,,1.2462148666381836,31.03587532043457,,
1908,7559,2431,312.0204417835415,-53.2394289827438,6.969231128692627,0.0484183684862458,11.467100616092218,14.585658073425291,13.657914161682127,13.19798755645752,12.974618911743164,19.057322160539925,,,,,,,,,,,,,,,,1.3876705169677734,27.876924514770508,,
1909,7561,1709,313.18578626872164,-52.0275814290259,7.7728271484375,0.0467741005122661,11.346053958828984,14.595741271972656,13.692357063293455,13.360441207885742,13.03039264678955,19.441826288456483,,,,,,,,,,,,,,,,1.235300064086914,31.09130859375,,
1910,7562,672,313.0398345441732,-52.79595064138253,6.4695329666137695,0.0464221151287268,11.32403506805603,14.708020210266112,13.773618698120115,13.445552825927734,13.075440406799316,19.13547041961239,,,,,,,,,,,,,,,,1.262467384338379,25.87813186645508,,
1911,7563,4787,302.27678205051205,-54.37987266217519,14.31110954284668,0.0530933970326898,11.484211198754474,14.738078117370604,13.77573013305664,13.358887672424316,13.042386054992676,20.77891733627245,,,,,,,,,,,,,,,,1.379190444946289,57.24443817138672,,
1912,7564,4741,302.7107092597315,-56.67350317144168,9.41292953491211,0.0560948399119734,11.503467788286644,14.754417419433594,13.779257774353027,13.109036445617676,13.049721717834473,19.633785134717627,,,,,,,,,,,,,,,,1.645380973815918,37.65171813964844,,
1914,7567,1664,313.20580011033485,-53.26571591916206,13.449994087219238,0.0470058522953235,11.28434993571944,14.849275588989258,13.85067653656006,13.68721866607666,13.088139533996582,20.99457650319215,,,,,,,,,,,,,,,,1.1620569229125977,53.79997634887695,,
1915,7569,670,312.9902554840704,-52.8018801539212,7.755303859710693,0.0449777825965188,11.289510930456682,14.78048038482666,13.890654563903809,13.427230834960938,13.225029945373535,19.501907745320047,,,,,,,,,,,,,,,,1.3532495498657229,31.021215438842773,,
1916,7572,1538,312.84178977569894,-52.54981031639138,7.352726936340332,0.0444140592756339,11.154747113986858,14.926377296447754,14.053549766540527,13.63647747039795,13.397229194641112,19.57767367035645,,,,,,,,,,,,,,,,1.289899826049805,29.410907745361328,,
1917,7573,934,315.83308124793257,-51.54744101792512,7.20720100402832,0.0468057138382047,11.10069525660451,14.906789779663086,14.06180477142334,13.825482368469238,13.46428680419922,19.70937737894053,,,,,,,,,,,,,,,,1.0813074111938477,28.82880401611328,,
1918,7574,303,306.3493815119528,-53.35295823447054,6.693333148956299,0.0493508078845666,11.21315243362062,14.93616008758545,14.069671630859377,13.775394439697266,13.415260314941406,19.52426605938692,,,,,,,,,,,,,,,,1.1607656478881836,26.773332595825195,,
1919,7575,1671,303.97065277128013,-53.27290240287277,5.535833835601807,0.0506250227282235,11.326263317241388,15.033373832702637,14.084956169128418,13.655193328857422,13.392906188964844,19.006608094622475,,,,,,,,,,,,,,,,1.3781805038452148,22.143335342407227,,
1920,7579,3379,311.54677495543683,-52.652923439460864,6.320036888122559,0.0477196794590476,11.28425802864334,15.053696632385254,14.128671646118164,13.564435958862305,13.48002815246582,19.196669967253268,,,,,,,,,,,,,,,,1.4892606735229492,25.280147552490234,,
1921,7580,1382,304.6401933927741,-57.54932471817382,5.436963081359863,0.056098808566773,11.3435891133474,15.088204383850098,14.132420539855955,13.865017890930176,13.442164421081545,19.19214996425973,,,,,,,,,,,,,,,,1.223186492919922,21.747852325439453,,
1922,7581,2250,314.89935757739295,-51.98821293600305,9.646223068237305,0.0487537281541619,11.191531694243958,15.116293907165527,14.154619216918944,13.84977912902832,13.4881591796875,20.406067626128525,,,,,,,,,,,,,,,,1.266514778137207,38.58489227294922,,
1923,7585,2296,303.027996281942,-56.5277591996444,9.759867668151855,0.0499669903654891,11.273254921784694,15.115123748779297,14.186893463134766,13.726088523864746,13.496564865112305,20.310722684696525,,,,,,,,,,,,,,,,1.3890352249145508,39.03947067260742,,
1924,7588,2024,315.43395430709774,-52.50460305834082,26.07086944580078,0.0378728673687981,10.254523953464671,14.880899429321287,14.223177909851074,14.913414001464844,13.73015594482422,23.48728560247316,,,,,,,,,,,,,,,,-0.0325145721435546,104.28347778320312,,
1925,7590,3569,310.3001839407808,-52.960497461716905,7.730617046356201,0.0483467799580201,11.23924318676344,15.172724723815918,14.257562637329102,13.7288236618042,13.568882942199709,19.80571634070766,,,,,,,,,,,,,,,,1.4439010620117188,30.922468185424805,,
1926,7591,542,316.2835179412833,-51.8356710833671,4.465497970581055,0.0505783237548958,11.149935194716203,15.165472030639648,14.277617454528809,14.011563301086426,13.6135835647583,18.89399761614505,,,,,,,,,,,,,,,,1.1539087295532229,17.86199188232422,,
1927,7595,12,311.64913656079443,-50.119775821419005,5.954236030578613,0.0499378806921153,11.175505972997176,15.25376319885254,14.294227600097656,14.10799503326416,13.53051471710205,19.63631014304869,,,,,,,,,,,,,,,,1.145768165588379,23.816944122314453,,
1928,7596,3772,312.9639077435973,-53.40811733981391,7.631259918212891,0.0429897405891378,11.002226304947964,15.157547950744627,14.299504280090332,14.003768920898438,13.64363956451416,20.03732945166582,,,,,,,,,,,,,,,,1.1537790298461914,30.52503967285156,,
1930,7601,477,310.58083228282425,-52.83887710353123,12.650517463684082,0.0484022870659828,11.044873454658743,15.302900314331056,14.325366020202637,14.26719093322754,13.579557418823242,21.432427479115745,,,,,,,,,,,,,,,,1.0357093811035156,50.60206985473633,,
1932,7607,5016,300.99075492831446,-54.89974278689189,5.026906967163086,0.0547879026362964,11.273927527080366,15.25195598602295,14.345675468444824,13.90943431854248,13.68941879272461,19.045424224208723,,,,,,,,,,,,,,,,1.3425216674804688,20.107627868652344,,
1933,7613,1794,314.7736563570241,-54.47510944604952,4.36177921295166,0.0426895329034595,11.005472663922015,15.281061172485352,14.383004188537598,14.03929042816162,13.721219062805176,18.880423039101448,,,,,,,,,,,,,,,,1.2417707443237305,17.44711685180664,,
1934,7615,1980,303.4943803299618,-57.03965318108271,4.849610805511475,0.0522940104114629,11.238625303508838,15.351712226867676,14.393912315368652,13.976107597351074,13.679019927978516,19.06088875230406,,,,,,,,,,,,,,,,1.3756046295166016,19.3984432220459,,
1935,7618,2871,315.90143897267853,-51.69244079994412,5.537277221679688,0.0517024347557135,11.10125112755717,15.277485847473145,14.411931991577148,14.028322219848633,13.755559921264648,19.35188645724156,,,,,,,,,,,,,,,,1.2491636276245115,22.14910888671875,,
1936,7619,1542,310.1182184683142,-53.29064741790337,7.970158100128174,0.044577505682281,11.03776620063254,15.42125415802002,14.417059898376465,14.23770236968994,13.645792961120604,20.41897824633075,,,,,,,,,,,,,,,,1.183551788330078,31.88063240051269,,
1937,7620,636,311.4534347474336,-56.83449241378344,4.867623805999756,0.041695511899769,10.878483641245165,15.20894718170166,14.422196388244627,14.105814933776855,13.84831428527832,19.132518910373527,,,,,,,,,,,,,,,,1.103132247924805,19.470495223999023,,
1938,7621,1723,312.31156001505934,-52.27649168268654,11.419275283813477,0.0486001312720824,10.508474174072944,15.05132293701172,14.422388076782228,14.72618007659912,13.953495025634766,21.47833969542504,,,,,,,,,,,,,,,,0.3251428604125976,45.67710113525391,,
1939,7622,2601,314.41710989950406,-51.19616030443288,6.661765098571777,0.0449110697774792,11.098566346343237,15.401195526123049,14.423697471618652,13.992358207702637,13.712260246276855,19.76108218156253,,,,,,,,,,,,,,,,1.4088373184204102,26.64706039428711,,
1941,7625,2245,313.1125743593906,-51.99096833052203,7.648971080780029,0.050531624781568,11.138444157472158,15.337087631225586,14.431855201721191,14.007739067077637,13.75942039489746,20.039065511935878,,,,,,,,,,,,,,,,1.3293485641479492,30.59588432312012,,
1942,7627,1836,312.018350329066,-53.02434515342025,7.213487148284912,0.0447721850778264,11.0596506983293,15.318325996398926,14.434271812438965,13.975397109985352,13.824352264404297,19.89583224821853,,,,,,,,,,,,,,,,1.3429288864135742,28.85394859313965,,
1943,7628,516,316.1623788223157,-54.81851630643088,9.679649353027344,0.0432465849424404,10.6105468263945,15.286761283874512,14.437151908874512,14.291619300842283,13.816073417663574,20.474396013304688,,,,,,,,,,,,,,,,0.9951419830322266,38.718597412109375,,
1944,7633,2517,313.12296338801303,-55.92438381990024,6.734296798706055,0.0479198179161665,11.07161457424597,15.389357566833496,14.450501441955566,14.018587112426758,13.758540153503418,19.71439118359364,,,,,,,,,,,,,,,,1.3707704544067385,26.93718719482422,,
1945,7634,4332,303.2580071354102,-56.94777293201578,6.146846771240234,0.0528238363807632,11.136580755884752,15.378437995910645,14.451746940612791,14.14976406097412,13.77788543701172,19.73227824194301,,,,,,,,,,,,,,,,1.2286739349365234,24.587387084960938,,
