,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
0,901005481701039,303.3588885587284,-56.69582275925127,5.9782490730285645,0.0577028691768646,10.257264254109872,-999999.0,16.917186737060547,16.13579750061035,15.944096253439886,15.554681777954102,21.261542208251164,-99999.0,False,0.2916728515180552,A3667,1.0,,,,,,,,,,,,,,0.9730904836206608,23.912996292114254,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,8,0,1.0
1,901005481809813,304.15678382916786,-56.76003218456503,3.6421866416931152,0.0383281558752059,8.951109708737627,-999999.0,18.385862350463867,17.914581298828125,17.735623584196226,17.635276794433594,21.964266966524228,-99999.0,False,0.8941115044367395,A3667,0.0,,,,,,,,,,,,,,0.6502387662676412,14.56874656677246,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,20,0,1.0
2,901005402400486,303.36506766811027,-57.12164932810029,4.873619079589844,0.0531725330378351,10.3859565229128,-999999.0,16.488540649414062,15.762953758239746,15.446089736475,15.280317306518556,20.44508634930576,-99999.0,False,0.5054611417873903,A3667,1.0,,,,,,,,,,,,,,1.0424509129390636,19.49447631835937,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,5,0,9.0
3,901005401905022,301.3118248104091,-57.10638534896111,8.232108116149902,0.0157193560153245,8.353933334885754,-999999.0,18.164966583251957,17.567289352416992,17.577724018332425,17.22871971130371,23.38771936208053,-99999.0,False,1.5880767734488883,A3667,0.0,,,,,,,,,,,,,,0.5872425649195279,32.92843246459961,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,18,0,9.0
4,901005245302330,302.24454797191515,-57.49196366130269,3.5474853515625,0.0348159484565258,8.935216093966178,-999999.0,18.422061920166016,17.90212631225586,17.698642276373747,17.610389709472656,21.89460404811485,-99999.0,False,1.267683320180004,A3667,0.0,,,,,,,,,,,,,,0.7234196437922691,14.18994140625,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,22,0,1.0
5,901005481007490,300.5082960496917,-56.66470156738962,5.872563362121582,0.0652077347040176,10.10363475004948,-999999.0,17.448694229125977,16.75880241394043,16.470982543584874,16.220821380615234,21.845815652188616,-99999.0,False,2.235746939459609,A3667,1.0,,,,,,,,,,,,,,0.9777116855411024,23.490253448486328,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,12,0,1.0
6,901005481301412,301.5777611747809,-56.81487492323793,6.487447261810303,0.0154245514422655,8.64154811764125,-999999.0,19.016525268554688,18.445825576782227,16.5766918364382,18.09133529663086,23.749069460393297,-99999.0,False,1.3072539690117362,A3667,0.0,,,,,,,,,,,,,,2.4398334321164867,25.94978904724121,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,26,0,8.0
7,901005167507511,302.05787976177663,-57.62723753493346,2.9276514053344727,0.0628966093063354,10.25206215527291,-999999.0,17.175565719604492,16.390562057495117,16.20251923661187,15.844929695129396,19.966033559918287,-99999.0,False,1.529358027086939,A3667,1.0,,,,,,,,,,,,,,0.973046482992622,11.71060562133789,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,16,0,1.0
8,901005168104953,304.7370990569058,-57.71392265438882,3.204750061035156,0.054176177829504,9.605404800467957,-999999.0,18.167743682861328,17.49446678161621,17.240208553649385,17.044340133666992,21.26631228575219,-99999.0,False,1.940228943446908,A3667,1.0,,,,,,,,,,,,,,0.9275351292119433,12.819000244140623,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,9,0,9.0
9,901005402702834,304.8198057750081,-57.04737846031903,5.559833526611328,0.0313219279050827,8.963749254976415,-999999.0,18.11261749267578,17.535072326660156,17.387218519680555,17.187705993652344,22.503255948719037,-99999.0,False,1.4871482205374602,A3667,0.0,,,,,,,,,,,,,,0.7253989729952259,22.239334106445312,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,22,0,1.0
