,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,901005481606429,303.1340474958823,-56.85113834700739,1.7816649675369265,0.0542737059295177,9.980771344350616,-999999.0,18.279878616333008,17.389896392822266,16.943705394121185,16.74361801147461,19.886901277804817,-99999.0,True,0.0415425140738427,A3667,1.0,,,,,,,,,,,,,,1.3361732222118228,7.126659870147705,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,125039.3685896995,-14248.0793479875,0,302.58077595345003,-56.78809374812249,False
1,901005641208224,301.22757247890587,-56.26474817652043,5.243524074554443,0.0538124963641166,10.085103935858069,-999999.0,17.451278686523438,16.681575775146484,16.34568913972934,16.132709503173828,21.5225667884722,-99999.0,False,1.8378811494409069,A3667,1.0,,,,,,,,,,,,,,1.1055895467940964,20.974096298217773,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-305823.98524698,118276.09918206654,0,302.58077595345003,-56.78809374812249,False
2,901005323706918,303.6414265245133,-57.27336367654255,2.692999124526977,0.055515618994832,10.390576241137175,-999999.0,17.0881404876709,16.223041534423828,15.908747876240264,15.618133544921877,19.61709727728808,-99999.0,True,0.8253292282067638,A3667,1.0,,,,,,,,,,,,,,1.179392611430636,10.77199649810791,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,239707.0290602975,-109671.00382293349,0,302.58077595345003,-56.78809374812249,False
3,901005481710085,303.7337284429755,-56.75611821773227,3.9509003162384033,0.0534502875126389,10.836265421691628,-999999.0,16.217613220214844,15.24152660369873,14.95775936643991,14.539595603942873,19.467881646883896,-99999.0,True,0.5391635551260857,A3667,1.0,,,,,,,,,,,,,,1.259853853774933,15.803601264953612,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,260567.26263276063,7226.469868189682,0,302.58077595345003,-56.78809374812249,False
4,901005323506440,302.70900849146346,-57.306735460187305,7.7474894523620605,0.0556615926325321,10.358067114965628,-999999.0,16.81069564819336,16.010814666748047,15.79461911655761,15.418140411376951,21.699494316741777,-99999.0,False,0.8209955456663031,A3667,1.0,,,,,,,,,,,,,,1.0160765316357487,30.98995780944824,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,28980.55359103637,-117213.02692664774,0,302.58077595345003,-56.78809374812249,False
5,901005481511277,302.86907310848136,-56.75459485349813,2.880701780319214,0.0579429723394204,10.651526871098184,-999999.0,16.90923309326172,15.9180269241333,15.648227581821288,15.203795433044434,19.45839311097177,-99999.0,True,0.2368048292970933,A3667,1.0,,,,,,,,,,,,,,1.2610055114404322,11.522807121276855,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,65155.157037080586,7570.750185104998,0,302.58077595345003,-56.78809374812249,False
6,901005167603370,302.3229804012034,-57.67544973816707,7.453324317932129,0.0564437136054039,9.763102191963222,-999999.0,18.2293701171875,17.428756713867188,17.256832618531025,16.800067901611328,23.033381491505452,-99999.0,True,1.4777559969762493,A3667,1.0,,,,,,,,,,,,,,0.9725374986564752,29.81329727172852,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-58261.79480774249,-200542.45375007406,0,302.58077595345003,-56.78809374812249,False
7,901005402409429,303.7294077744625,-56.94833111555746,6.408707141876221,0.0547788018575036,11.057725659721273,-999999.0,15.825209617614746,14.851259231567385,14.501321525931768,14.142266273498535,20.12798604390747,-99999.0,True,0.5559221290914944,A3667,1.0,,,,,,,,,,,,,,1.3238880916829778,25.634828567504883,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,259590.79154882193,-36213.64504030241,0,302.58077595345003,-56.78809374812249,False
8,901005561005460,301.5940955753909,-56.510779504202524,3.0999112129211426,0.0558579601347446,9.91989285079089,-999999.0,17.750268936157227,17.02741241455078,16.704124105527562,16.51620864868164,20.72703337144036,-99999.0,False,1.3883225388801963,A3667,1.0,,,,,,,,,,,,,,1.0461448306296646,12.39964485168457,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-222989.7654413643,62673.01912591263,0,302.58077595345003,-56.78809374812249,False
9,901005481502847,302.52969056974,-56.70757895485389,1.7738882303237915,0.0554831381887197,10.088897173337644,-999999.0,18.1778564453125,17.240211486816406,16.828021119728902,16.59389877319336,19.72771742956232,-99999.0,True,0.5312261524043937,A3667,1.0,,,,,,,,,,,,,,1.349835325583598,7.095552921295166,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-11545.296718463873,18196.343278703225,0,302.58077595345003,-56.78809374812249,False
