,Unnamed: 0,CATID,RA,DEC,Re,z,Mstar,GAL_MAG_U,GAL_MAG_G,GAL_MAG_R,GAL_MAG_I,GAL_MAG_Z,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_E_R,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,Ellipticity_r,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re
0,453,338680218804886,339.246013849636,-32.2224808889694,11.0720485242583,0.02697,10.650704282225789,16.2651335666692,14.7442245846843,14.0086303182001,13.6407549033294,13.4138176798228,,,,,,,,,,,,,,,,1.1034696813549,44.2881940970332,,
1,658,338680240908318,339.219927755708,-31.8993946014433,7.58029422848474,0.03793,9.732072278138968,17.3350632459381,16.2889441261064,15.9395772755396,15.7204374264397,15.723489935842,,,,,,,,,,,,,,,,0.5685066996667008,30.32117691393896,,
2,838,338690304611012,339.345013600777,-30.7459522284009,7.39063216875498,0.02798,9.750729144400951,16.3647049936059,15.4279452094259,15.0788659866175,14.9190458556434,14.8260820697218,,,,,,,,,,,,,,,,0.5088993537824997,29.56252867501992,,
3,1003,338690612504658,339.007718075991,-31.3447336278673,3.92050437969941,0.05939,9.728279164895005,18.4802774179757,17.5123436446654,17.0672068294694,16.847655291347,16.6916727980219,,,,,,,,,,,,,,,,0.6646883533184003,15.68201751879764,,
4,1178,338690319501115,339.331943386923,-31.677925823432,3.97349424521622,0.0386,8.763911141548899,19.2561745282708,18.3497409937186,18.0694712563968,17.9248892679581,17.998586123209,,,,,,,,,,,,,,,,0.4248517257605009,15.89397698086488,,
5,1216,338700085805052,339.882106831635,-30.3063440803278,6.42614874548317,0.02492,10.533259680823132,16.7699944898883,15.0285981345973,14.2233940767594,13.867410882432,13.5689910631016,,,,,,,,,,,,,,,,1.1611872521652984,25.70459498193268,,
6,1218,338700528106894,339.399517812307,-30.1341400042121,4.31376860992888,0.08589811,10.95586663824778,18.7557584544102,16.898808858667,15.9931224386214,15.6198053614016,15.3198534340062,,,,,,,,,,,,,,,,1.2790034972654,17.25507443971552,,
7,1263,338700626500407,339.292330720913,-30.7450200017057,4.11531608115189,0.02807,9.38618472608011,17.2039056669739,16.2896519227375,15.9598443671517,15.8011881708304,15.7249390673378,,,,,,,,,,,,,,,,0.4884637519071013,16.46126432460756,,
8,1456,338700288903508,339.661127139094,-30.4525269529609,5.20906866700158,0.05874,9.90020358881622,18.6573964202306,17.5248277552421,16.986843402089,16.691199309213,16.5003829569895,,,,,,,,,,,,,,,,0.833628446029099,20.83627466800632,,
9,1690,338700048402696,339.924304301356,-30.5279972735931,4.71757202779402,0.02524,8.428242834435695,20.0037726706893,18.9115539967438,18.4440504500957,18.2587769091466,18.084883748405,,,,,,,,,,,,,,,,0.652777087597201,18.87028811117608,,
10,1738,338650826308045,339.062488083861,-34.9255611228942,1.81437594896297,0.0286,9.629267382653524,18.9898143203058,17.3566343196654,16.6653175535993,16.2772012370049,16.0412629261204,,,,,,,,,,,,,,,,1.0794330826605003,7.25750379585188,,
11,1747,338650677111669,339.234120645369,-34.5845278738195,3.33814443904316,0.05990144,10.518454231708075,17.9482905808401,16.4472639330799,15.7883084889522,15.4586165461769,15.207164721892,,,,,,,,,,,,,,,,0.9886473869029988,13.35257775617264,,
12,1748,338650870910224,339.011988663642,-34.720269155499,5.20524528750884,0.0584,10.640722665768129,17.6132362685285,16.1322738487192,15.496587901259,15.1277133313312,14.8408786979899,,,,,,,,,,,,,,,,1.0045605173880006,20.82098115003536,,
13,1764,338650159809390,339.827141067398,-34.7980038437626,4.05004338859611,0.0294,9.7420598210446,17.1305890651396,16.1030696892067,15.6720063529992,15.3962148428242,15.2598860722437,,,,,,,,,,,,,,,,0.7068548463824982,16.20017355438444,,
14,1790,338650155709682,339.831663643663,-34.7704888363629,2.24118074311125,0.0586,10.039925071070275,20.1111405764602,18.2595191733372,17.4399148575892,17.0306079339774,16.736057250651,,,,,,,,,,,,,,,,1.2289112393597996,8.964722972445,,
15,1799,338650212808940,339.766610107659,-34.8406233479088,1.96455198549596,0.0582,9.74883651325647,19.8641090741887,18.4718286261017,17.7977353740856,17.4248004659351,17.1410550965687,,,,,,,,,,,,,,,,1.047028160166601,7.85820794198384,,
16,1827,338650207809310,339.772145249572,-34.8057616395312,2.50329973199941,0.0594,9.874508310041852,20.0759245835246,18.36542096042,17.60208070079,17.2584697875629,17.000540306734,,,,,,,,,,,,,,,,1.1069511728571015,10.01319892799764,,
17,1838,338650021609740,339.985326535158,-34.7642629639903,4.37648683938264,0.0591,9.78759936236612,18.7133363960624,17.4612128764931,17.0232867365934,16.7575179725126,16.6178819952502,,,,,,,,,,,,,,,,0.7036949039805016,17.50594735753056,,
18,1889,338650690509927,339.218631867621,-34.7485473483482,5.62408209489216,0.0581,10.057186356248394,17.9690487327644,16.7783713056204,16.32049058458,16.0648862700174,15.8578712412742,,,,,,,,,,,,,,,,0.713485035603,22.49632837956864,,
19,2070,338650601509903,339.320629123006,-34.7508325832087,2.66840689153567,0.0299,8.442664244562748,20.121772880204,18.9732001854578,18.6006458292375,18.4161756774907,18.3277337378883,,,,,,,,,,,,,,,,0.5570245079670997,10.67362756614268,,
