,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
0,W39710311404031,39.0719164691969,-29.4469400275811,1.87529644835751,0.0553000010550022,9.635313774981872,18.89774918234163,17.673495097470127,17.217050396403266,16.980220677891225,16.895197153420355,19.825274733681752,0.1441719466696259,True,,,True,0.0,,,,,,,,,,,,,,0.693274419578902,7.50118579343004,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,109,0,1.0
1,W39710382800269,39.0045255247066,-29.7605916855822,2.29777117649132,0.0333999991416931,9.22895644237921,19.19819016540756,17.895864421060892,17.350195101213544,17.102994943028087,16.900867223902416,20.39960366942909,0.477669691797976,True,,,True,0.0,,,,,,,,,,,,,,0.7928694780328058,9.19108470596528,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,149,0,8.0
2,W39710136607100,39.2378371280333,-29.1906334946232,12.0150530673993,0.0164000000804662,9.51897282140299,16.220618853418014,15.10247166376605,14.68495511103066,14.506050383493276,14.366096744221156,21.32645825932193,0.539056651260104,True,,,True,0.0,,,,,,,,,,,,,,0.5964212802727733,48.0602122695972,,,False,True,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,109,0,1.0
3,W40711006007218,39.6079795954064,-29.1815582077369,5.94138553296267,0.0579000003635883,9.63693174211354,19.32240589672263,17.889846934347432,17.40730053926246,17.1516531569504,16.99394524838222,22.519613893002244,0.451899436529964,True,,,True,0.0,,,,,,,,,,,,,,0.7381937773970328,23.76554213185068,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,109,0,1.0
4,W39670657909248,39.2418401820882,-32.9127020318651,5.66059930963205,0.069700002670288,11.276231851824631,17.617280219900373,15.73356035934911,14.80652888630476,14.430569339296609,14.134511538243933,19.813715638369615,0.0622118309388249,True,,,True,0.0,,,,,,,,,,,,,,1.3029910200525023,22.6423972385282,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,89,0,1.0
5,W39670496209105,39.4023782032567,-32.9244624811653,24.8623780317055,0.0151004455983638,10.61049521953016,14.519932314884937,13.084687565731652,12.474022155048198,12.167496388688548,11.92210522819976,20.694610164798995,0.612851076760511,True,,,True,0.0,,,,,,,,,,,,,,0.9171911770431044,99.449512126822,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,89,0,1.0
6,W39670541705396,39.3577606530398,-33.2336085259329,4.26717451794071,0.0210999995470047,9.52332218933704,17.130998837316266,15.872325647965688,15.40102268898952,15.189655724313546,15.094159947157433,19.794599395226193,0.127805336693213,True,,,True,0.0,,,,,,,,,,,,,,0.6826699236521421,17.06869807176284,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,108,0,1.0
7,W39670719010207,39.1812063388322,-32.832792199669,4.62177999926201,0.0214615128934383,9.629018824676615,16.395463717780693,15.346908811210753,14.92988575462181,14.771745833410224,14.626148730351396,19.496806780561883,0.331333004712255,True,,,True,0.0,,,,,,,,,,,,,,0.5751629778005274,18.48711999704804,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,89,0,1.0
8,W39670437802558,39.4619788084014,-33.4699276416748,2.21309767996435,0.0357000008225441,9.569576839135538,18.06423229454835,16.91300173085623,16.42840067087895,16.218969860436573,16.100573050497186,19.396278267106663,0.0179322672056589,True,,,True,0.0,,,,,,,,,,,,,,0.6940318704196571,8.8523907198574,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,89,0,1.0
9,W39670056301073,39.843972241601,-33.5922781447619,5.71363926521373,0.0811000019311904,10.690780558664231,18.212618026617356,16.665936671329213,16.001413645379568,15.67008288463719,15.459941676266578,21.02885241418035,0.5600269162096589,True,,,True,0.0,,,,,,,,,,,,,,0.9958537866920238,22.85455706085492,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,89,0,1.0
