,ID,RA,DEC,Re,z,Mstar,GAL_MAG_U,GAL_MAG_G,r_mag,GAL_MAG_I,GAL_MU_E_G,GAL_MU_E_R,GAL_MU_E_I,GAL_MAG_Z,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,Ellipticity_r,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,priority,g_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,N_observations_to_complete,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,39670393210190,40.7043205054121,-32.8338420405508,3.59374731386233,0.024540389,8.917463533595264,17.3164066392381,16.3048274896984,16.0850829399058,16.0155313427855,20.32543985854111,20.10569530874851,20.03614371162821,,,,,,,,,,,,,,0.2892961469128998,14.37498925544932,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-43934.50622187996,70270.23763505407,0,40.89872097542042,-33.14477229557316,False
1,39671284106253,39.8186153437724,-33.1609409241059,1.9668964961761,0.036648687,9.098098754804242,20.8937527916037,18.8979648405056,17.5787013755133,17.1161353846799,21.60974705563964,20.29048359064734,19.82791759981394,,,,,,,,,,,,,,1.7818294558257008,7.8675859847044,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-244103.8727524519,-3654.1100483990476,0,40.89872097542042,-33.14477229557316,False
2,39671199102097,39.9012562641431,-33.507618863813,3.41063076444128,0.02,9.03202205716013,19.7272012416819,17.5870470187808,16.3804074084936,15.941907569396,21.49409522624632,20.28745561595912,19.84895577686152,,,,,,,,,,,,,,1.6451394493848015,13.64252305776512,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-225427.02474867363,-82003.3244222035,0,40.89872097542042,-33.14477229557316,False
3,40660967211831,40.5324235640712,-33.6971765542361,3.09475048646559,0.034,9.201462370179977,20.5148515937573,18.2817324607156,17.0489610847864,16.6266876237186,21.977735341833583,20.744963965904383,20.322690504836583,,,,,,,,,,,,,,1.655044836997,12.37900194586236,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-82783.21496492269,-124843.36245782426,0,40.89872097542042,-33.14477229557316,False
4,40670835103839,41.4652533140353,-33.3633836993411,2.35425100395344,0.037469257,8.782990660971397,20.4920497395867,19.1485994187815,18.1813318639918,17.8028527164951,22.25073792198457,21.283470367194862,20.904991219698164,,,,,,,,,,,,,,1.3457467022864016,9.41700401581376,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,128036.30852696381,-49406.177251553854,0,40.89872097542042,-33.14477229557316,False
5,39671036104403,40.0648876929865,-33.3160074888849,2.04942772299578,0.036812134,8.906440339523627,20.0345519501138,18.59700836425,17.8031278047597,17.4361829122263,21.39804607945384,20.60416551996354,20.23722062743014,,,,,,,,,,,,,,1.1608254520237011,8.19771089198312,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-188446.32183006473,-38699.15368845268,0,40.89872097542042,-33.14477229557316,False
6,39670652109134,40.4476026818025,-32.9221998823802,1.93461351719607,0.037018944,8.745789315888526,20.1453372937538,18.9315724353172,18.2288831042148,17.8575280176579,21.607418206427617,20.90472887532521,20.53337378876832,,,,,,,,,,,,,,1.0740444176593016,7.73845406878428,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-101952.7343576492,50301.36538160983,0,40.89872097542042,-33.14477229557316,False
7,39670942410284,40.1596682981646,-32.8261474712619,2.47160614511422,0.02136478,9.144278145509906,18.2222857831677,16.7682094287826,16.0901757983141,15.7063808463983,19.97598044213393,19.29794681166544,18.91415185974964,,,,,,,,,,,,,,1.061828582384301,9.88642458045688,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-167025.90505981538,72009.21029434574,0,40.89872097542042,-33.14477229557316,False
8,39670526711259,40.5717485516764,-32.7450124280989,2.19043814185801,0.04178891,9.103393685746736,18.9835344763979,17.775054659677,17.2099932641778,16.9773150188262,20.72058430730092,20.15552291180172,19.92284466645012,,,,,,,,,,,,,,0.7977396408508,8.76175256743204,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-73895.7677661479,90345.73004918254,0,40.89872097542042,-33.14477229557316,False
9,38660018611461,40.2827579989089,-33.7264182816388,2.93996695306376,0.035831455,9.10286496975368,19.5750778652922,17.9145221554187,17.2294447528138,16.8715622554478,21.499109080740816,20.814031678135915,20.45614918076992,,,,,,,,,,,,,,1.0429598999709029,11.75986781225504,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-139207.63269160318,-131451.99285083418,0,40.89872097542042,-33.14477229557316,False
