ID,RA,DEC,e_raj2000,e_dej2000,smss_j,mean_epoch,rms_epoch,glon,glat,flags,nimaflags,ngood,ngood_min,nch_max,density,u_flags,u_nimaflags,u_ngood,u_nch,u_nclip,v_flags,v_nimaflags,v_ngood,v_nch,v_nclip,g_flags,g_nimaflags,g_ngood,g_nch,g_nclip,r_flags,r_nimaflags,r_ngood,r_nch,r_nclip,i_flags,i_nimaflags,i_ngood,i_nch,i_nclip,z_flags,z_nimaflags,z_ngood,z_nch,z_nclip,class_star,flags_psf,radius_petro,u_mag,e_u_psf,u_rchi2var,u_petro,e_u_petro,v_mag,e_v_psf,v_rchi2var,v_petro,e_v_petro,g_mag,e_g_psf,g_rchi2var,g_petro,e_g_petro,r_mag,e_r_psf,r_rchi2var,r_petro,e_r_petro,i_mag,e_i_psf,i_rchi2var,i_petro,e_i_petro,z_mag,e_z_psf,z_rchi2var,z_petro,e_z_petro,ebmv_sfd,prox,prox_id,dr1_id,dr1_dist,twomass_key,twomass_dist,allwise_cntr,allwise_dist,ucac4_mpos,ucac4_dist,refcat2_id,refcat2_dist,ps1_dr1_id,ps1_dr1_dist,galex_guv_id,galex_guv_dist,gaia_dr2_id1,gaia_dr2_dist1,gaia_dr2_id2,gaia_dr2_dist2,ref_epoch,ra,dec,pmRA,pmDEC,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,RA_pmcorr,DEC_pmcorr
2633532,349.302888,-34.21141,23,26,231712.69-341241.0,57106.0623,73.6584,7.84402,-68.5967,2,7,37,4,1,2.0,0,0,4,1,1,0,0,5,1,1,0,0,6,1,0,0,4,6,1,0,2,1,8,1,0,0,2,8,1,0,0.999,0,4.65,16.9208,0.0196,21.216,16.8856,0.0477,16.4383,0.0114,13.281,16.4599,0.0173,14.2621,0.0064,2.109,14.257,0.0058,13.7012,0.0079,3.179,13.6987,0.0065,13.3234,0.0037,0.695,13.3305,0.0077,13.1653,0.0037,0.459,13.1764,0.009,0.0215,11.3,2633531,1886162,0.04,658800026,0.15,3490034901351055360,0.15,53150016,0.02,104207843,0.17,,,,,6555212840750651776,0.17,6555212836455626752,11.5,2015.5,349.3029144589356,-34.211453334294696,3.5448080221341978,-9.675892137571651,13.709689,14.306084,12.990095,349.30289684655867,-34.21142996924212
2624481,347.120178,-34.28476,29,46,230828.84-341705.1,57154.5607,188.838,8.63885,-66.8163,0,8,31,4,1,1.0,0,0,5,1,0,0,0,6,1,0,0,0,4,1,0,0,0,4,1,0,0,4,5,1,0,0,4,7,1,0,0.992,0,4.56,16.5382,0.0331,0.36,16.2009,0.0118,16.0931,0.0354,1.502,15.8229,0.0108,14.1549,0.0339,0.665,13.8788,0.0107,13.7012,0.0424,0.384,13.4029,0.0129,13.4238,0.0395,0.375,13.1138,0.009,13.3567,0.037,0.18,13.0264,0.0075,0.0176,15.0,,1881263,0.13,50393885,0.25,3472034901351058432,0.35,53037586,0.69,103939306,0.85,,,6384954389744845824,1.49,6554612640545506944,0.85,6554612644840520704,1.74,2015.5,347.1202882193859,-34.28454329736566,34.985726598309476,3.308356729859483,14.012167,14.4836645,13.357665,347.120265387825,-34.28475317213578
2673999,348.30372,-32.978111,37,21,231312.89-325841.1,57067.832,50.8632,11.547,-68.013,0,0,38,5,1,1.0,0,0,5,1,0,0,0,7,1,0,0,0,6,1,0,0,0,6,1,0,0,0,7,1,0,0,0,7,1,0,0.994,0,4.47,16.5536,0.0143,5.434,16.5743,0.0184,16.1241,0.0062,1.854,16.1316,0.0208,14.1814,0.0044,0.501,14.1812,0.005,13.7012,0.0055,1.565,13.6919,0.0146,13.4134,0.004,0.693,13.4212,0.01,13.3075,0.004,0.66,13.3154,0.0133,0.0175,15.0,,1909882,0.11,658699208,0.12,3491033401351040512,0.04,55154644,0.12,104071750,0.13,,,6384954388671107072,0.5,6556296753057468800,0.13,,,2015.5,348.30375017655354,-32.97813750017589,-0.1705460687701404,-4.782491027353457,13.727632,14.2389965,13.076573,348.3037195804215,-32.97812087017232
2624266,346.837452,-34.354967,17,21,230720.98-342117.8,57152.6128,139.619,8.57628,-66.5738,0,3,32,4,1,1.0,0,0,4,1,1,0,0,4,1,1,0,0,5,1,0,0,0,6,1,0,0,0,5,1,0,0,3,8,1,0,0.991,0,3.97,15.9898,0.0059,7.944,16.0182,0.0107,15.6238,0.0054,10.392,15.6334,0.0095,14.0968,0.0047,0.585,14.1,0.0098,13.7016,0.0052,1.402,13.7151,0.009,13.4464,0.0047,0.432,13.4589,0.0087,13.3737,0.0037,0.146,13.3862,0.0078,0.017,15.0,,1881141,0.01,50374881,0.15,3472034901351060992,0.18,52927856,0.15,103801278,0.25,,,6384954389744844800,1.04,6554620066544391680,0.25,,,2015.5,346.83743567427734,-34.35503500862746,-10.30053432036436,-4.603689734260524,13.713177,14.161632,13.120569,346.8374262498128,-34.354976501096516
2455409,342.256096,-30.361266,24,21,224901.46-302140.5,57181.1692,109.407,18.7263,-63.0554,0,11,52,7,1,1.0,0,0,10,1,0,0,0,10,1,0,0,1,7,1,0,0,1,7,1,0,0,4,10,1,0,0,5,8,1,0,0.998,0,4.03,16.0466,0.006,2.714,16.0535,0.0078,15.7065,0.0078,4.422,15.6902,0.0107,14.1237,0.0042,0.741,14.1148,0.0044,13.7019,0.0044,0.751,13.6952,0.0053,13.4498,0.0039,0.469,13.4399,0.0044,13.372,0.0046,0.38,13.3662,0.0038,0.0134,15.0,,1794002,0.09,61759698,0.55,3426030301351034368,0.29,59525906,0.45,103213718,0.08,71563422560746704,0.06,6388085829999266816,0.11,6607504033219890816,0.08,,,2015.5,342.2561224078066,-30.36126239694255,23.984928614254187,11.510701906492283,13.838119,14.160999,13.130684,342.25615336814263,-30.36124224403881
2442771,340.219574,-30.030613,34,20,224052.69-300150.2,57082.7909,61.6016,19.3309,-61.2868,0,3,52,7,1,1.0,0,0,8,1,1,0,0,9,1,2,0,0,7,1,2,0,3,11,1,0,0,0,7,1,0,0,0,10,1,0,1.0,0,4.1,15.8061,0.0065,3.693,15.8055,0.0075,15.4668,0.0089,9.851,15.4639,0.0123,14.0493,0.0041,4.424,14.0589,0.0067,13.7019,0.0035,1.203,13.7027,0.0065,13.4956,0.004,0.76,13.5095,0.0079,13.446,0.0033,0.744,13.4571,0.0046,0.0152,15.0,,1787685,0.09,525114038,0.4,3408030301351040512,0.1,60122539,0.38,102895725,0.22,71963402195483520,0.23,6388085827851783168,0.97,6608093882552948224,0.22,,,2015.5,340.2196104345238,-30.030665348109522,34.79537681159511,-12.831146725398348,13.720654,14.120539,13.164082,340.2196569418874,-30.030639479749833
2716689,350.805092,-32.38312,26,22,232313.22-322259.2,57341.8165,225.898,12.241,-70.1867,0,11,24,2,1,2.0,0,2,4,1,0,0,3,5,1,0,0,1,2,1,0,0,3,4,1,0,0,2,3,1,0,0,0,6,1,0,0.993,0,4.32,15.8581,0.0097,2.964,15.8766,0.0267,15.5362,0.0164,11.968,15.534,0.0268,14.0823,0.0075,0.235,14.0618,0.0288,13.7021,0.0053,0.692,13.6782,0.0198,13.5018,0.0061,0.086,13.4959,0.0218,13.4371,0.0043,0.943,13.4439,0.0151,0.0126,13.1,2716690,1931656,0.13,675634140,0.24,3511031901351008256,0.16,56109701,0.31,104334701,0.14,,,6380732274757864448,0.47,6555826059001502976,0.14,,,2015.5,350.8051354422516,-32.383129152481274,1.9555986212249394,16.095339464138085,13.728317,14.147551,13.163806,350.8050967792286,-32.3830867822117
2638742,351.479092,-35.998812,30,36,232554.98-355955.7,57284.5551,285.342,1.59438,-69.7991,0,0,14,1,1,1.0,0,0,2,1,0,0,0,2,1,1,0,0,3,1,0,0,0,1,1,0,0,0,3,1,0,0,0,3,1,0,0.988,0,5.16,16.6733,0.0134,0.013,16.7685,0.0695,16.3558,0.0092,9.404,16.332,0.0963,14.2616,0.0132,4.292,14.2499,0.0161,13.7022,0.0117,0.0,13.7174,0.0145,13.4151,0.0061,0.543,13.4336,0.0113,13.3086,0.0061,0.029,13.3273,0.0192,0.0209,15.0,,1890683,0.03,625298719,0.53,3506036401351050752,0.18,50382507,0.56,104467692,0.14,,,6384778422787248128,1.98,6551035280680978176,0.14,,,2015.5,351.4791249825911,-35.99883958619968,35.42152370304971,15.650367778055296,13.767138,14.315198,13.091988,351.4791823594222,-35.99877970051675
2880157,349.253311,-30.703342,26,28,231700.79-304212.0,57153.1106,127.408,17.4818,-69.0702,0,0,30,4,1,1.0,0,0,4,1,0,0,0,4,1,1,0,0,4,1,0,0,0,6,1,0,0,0,6,1,0,0,0,6,1,0,0.996,0,4.24,16.0767,0.01,3.154,16.0932,0.0265,15.7287,0.0089,7.059,15.7216,0.0118,14.1081,0.0053,0.469,14.0987,0.0108,13.7028,0.0059,1.859,13.698,0.0078,13.4781,0.0044,1.033,13.4802,0.0079,13.4141,0.0046,1.147,13.426,0.0131,0.017,15.0,,2024838,0.03,658792271,0.72,3495030301351015936,0.23,58912807,0.59,104202264,0.13,71153492533656288,0.12,,,6557149385669991040,0.13,,,2015.5,349.25331618840295,-30.70337887379614,-34.250016538350216,-17.58852744577344,13.728741,14.1703,13.14171,349.25322879036514,-30.703378299424706
2489405,342.673073,-29.818895,38,23,225041.53-294908.0,57123.391,72.402,19.9475,-63.4044,0,0,35,5,1,1.0,0,0,7,1,0,0,0,5,1,2,0,0,6,1,0,0,0,6,1,0,0,0,5,1,1,0,0,6,1,0,0.997,0,3.95,16.1488,0.0081,3.935,16.1748,0.0114,15.7814,0.0067,4.715,15.7856,0.0093,14.1269,0.0043,0.145,14.133,0.0052,13.7033,0.0043,0.485,13.7071,0.0051,13.48,0.0089,7.387,13.4843,0.0049,13.4181,0.0043,0.991,13.4273,0.0085,0.0167,15.0,,1811531,0.29,21179201,0.17,3426030301351045120,0.1,60537778,0.11,103212334,0.13,72213426730877600,0.14,,,6607551587097780224,0.13,,,2015.5,342.6731119388242,-29.81890500570391,-4.399111772886124,-7.21860905323369,13.755328,14.179879,13.136137,342.6730625355759,-29.818909897866593
