,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
0,W10711006001460,10.0066066503291,-29.6613753063726,6.20449788807952,0.0439000017940998,10.118577793363208,17.622243549374527,16.21037084145764,15.66700187970093,15.432799198027055,15.262541617178677,20.87340976679068,0.1134074643291279,True,,,True,0.0,,,,,,,,,,,,,,0.7775716434305835,24.81799155231808,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,177,0,1.0
1,W10710088908896,10.8825155101501,-29.0407853078509,3.43352888163915,0.0599354915320873,9.751902046187771,18.649949645249865,17.36488193291217,16.960685702979706,16.739256956350587,16.632585760642357,20.882263909106307,0.0668045713202609,True,,,True,0.0,,,,,,,,,,,,,,0.625624976561582,13.7341155265566,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,180,0,1.0
2,W10710054000345,10.9200809043255,-29.7531619794196,3.24045605585578,0.0276941191405057,8.96651160162384,19.120102871265765,17.876374749088622,17.34222551623462,17.183168804964538,17.055152562115758,21.138130879563928,0.2496193393451869,True,,,True,0.0,,,,,,,,,,,,,,0.6932059441240845,12.96182422342312,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,180,0,1.0
3,W10710776404289,10.2269516595343,-29.42593723558,8.01860775459407,0.0438000001013278,9.40045445048196,18.44838408448834,17.188595329973918,16.817748835045535,16.70527201531455,16.582895162206484,22.581118365068605,0.5864268796290131,True,,,True,0.0,,,,,,,,,,,,,,0.4833233146593692,32.07443101837628,,,False,True,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,156,0,1.0
4,W10710892406339,10.1162752925813,-29.2549993898119,3.69366698859526,0.0439999997615814,9.060638523340268,18.840428918027797,17.769760034105452,17.518656559634742,17.3871645616789,17.328795994781927,21.598819931413654,0.438147552183973,True,,,True,0.0,,,,,,,,,,,,,,0.3825954724265514,14.77466795438104,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,177,0,1.0
5,W10710334808900,10.648143355633,-29.041259836582,3.2780928463288,0.0436999984085559,8.894983703649242,19.57612144826512,18.39393409929402,18.102562481812235,17.929986408739133,17.883030148326036,21.923543413803593,0.4851921807987259,True,,,True,0.0,,,,,,,,,,,,,,0.4639476905548889,13.1123713853152,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,156,0,1.0
6,W10710197608935,10.7788986707602,-29.0379427295537,2.99007176060535,0.0434000007808208,8.75341193525839,19.893483328902015,18.868150343681652,18.512167013282976,18.355331189122108,18.278658058149546,22.133449751792536,0.513205509424471,True,,,True,0.0,,,,,,,,,,,,,,0.5128191545595442,11.9602870424214,,,False,True,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,201,0,8.0
7,W12700811610200,11.3927341891599,-29.9333335049347,3.91930379667977,0.0481232888996601,10.23938651387572,17.39293777350462,16.134716719500023,15.603816062438032,15.345517074187844,15.348002203803755,19.812735385253717,0.1808528367891839,True,,,True,0.0,,,,,,,,,,,,,,0.7891996453121806,15.67721518671908,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,180,0,4.0
8,W12700230309703,11.9518895459821,-29.9740215805667,8.4820003294118,0.0599354654550552,10.193169505766727,18.74098678631347,17.364467130704703,16.751478166920883,16.338498248907733,16.043227928138556,22.636844273607213,0.832452659236291,True,,,True,0.0,,,,,,,,,,,,,,1.0259688817969703,33.9280013176472,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,159,0,4.0
9,W12701094809689,11.1202520612061,-29.975414810749,3.69059165153636,0.0277581065893173,8.256851844426942,20.32402257574031,19.073867165824332,18.734487192246796,18.59090215287681,18.475257695163833,22.81284184895087,0.332665278536268,True,,,True,0.0,,,,,,,,,,,,,,0.4829650129475205,14.76236660614544,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,180,0,4.0
10,W12710035605697,12.0349626920246,-29.307123025611,3.91398498253924,0.0486536584794521,10.508775372732222,18.372972567545492,16.322665682440256,15.560013061382415,15.229596084761669,14.934108456407554,19.7659835180812,0.465416258945631,True,,,True,0.0,,,,,,,,,,,,,,1.0930695976785891,15.65593993015696,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,159,0,1.0
11,W12710103007429,11.9697553616782,-29.163086184026,2.79144810635317,0.0758000016212463,10.622173550891455,19.032834279074425,17.100271823115804,16.2964140752667,15.958002014574928,15.673226428420996,19.768436550150025,0.284718851827617,True,,,True,0.0,,,,,,,,,,,,,,1.1422698085408776,11.16579242541268,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,159,0,1.0
12,W12710575408804,11.5188225122993,-29.0496563775874,3.54636150004921,0.0758258178830146,10.634943563390095,18.788319287549196,16.99267449720206,16.224990499304,15.87819091314356,15.797753595286258,20.216780198720993,0.116855645807131,True,,,True,0.0,,,,,,,,,,,,,,1.114483584058501,14.18544600019684,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,180,0,1.0
13,W12710078603230,11.995068498896,-29.512880390657,2.77019089423058,0.0597000010311603,10.358733958408669,19.2357022273938,17.32116004115573,16.54253272646119,16.157662131884923,15.856182061190902,19.99795589513326,0.441702621776169,True,,,True,0.0,,,,,,,,,,,,,,1.1634979092708058,11.08076357692232,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,159,0,1.0
14,W12711036502965,11.0777550014093,-29.5358991306193,2.31181566072621,0.0551825389266014,10.162383277072417,18.833957757202533,17.303683451564964,16.616667734710166,16.26489106333822,16.08156139406168,19.679308423490017,0.2231011143842559,True,,,True,0.0,,,,,,,,,,,,,,1.0387923882267458,9.24726264290484,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,156,0,1.0
