field,tile_number,filename,guide_filename,image_source
Stars_180_m22,1,resources/20230417_20230430/Stars/Tiles/Stars_180_m22_T001.fld,resources/20230417_20230430/Stars/Tiles/Stars_180_m22_GT001.fld,DECALS
Stars_250_m22,1,resources/20230417_20230430/Stars/Tiles/Stars_250_m22_T001.fld,resources/20230417_20230430/Stars/Tiles/Stars_250_m22_GT001.fld,DECALS
