,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
0,0,901006998703598,313.4232295059989,-52.35702879882556,3.5611824989318848,0.0439823567867279,10.073334043283214,-999999.0,16.742591857910156,16.004806518554688,15.881222459459586,15.48807144165039,20.005652352357124,-99999.0,False,0.8438437213762097,A3716,1.0,,,,,,,,,,,,,,0.8613693984505701,14.24472999572754,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,9,0,1.0
1,1,901007176906541,313.14107961103724,-51.70494696856802,3.0726943016052246,0.0475916527211666,9.7071315300091,-999999.0,17.506580352783203,16.904338836669922,16.665713454784736,16.505428314208984,20.58481029344248,-99999.0,False,1.8781422437430555,A3716,1.0,,,,,,,,,,,,,,0.8408668979984668,12.290777206420898,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,13,0,1.0
2,2,901006647403868,311.94081500623315,-53.156098811424016,10.648258209228516,0.048223724956369,10.37431748115866,-999999.0,15.835344314575195,15.146355628967283,15.142222832167342,14.641191482543944,21.52562317963013,-99999.0,False,1.345268835032896,A3716,1.0,,,,,,,,,,,,,,0.6931214824078538,42.59303283691406,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,13,0,1.0
3,3,901006821707166,311.3977263204107,-52.7800849723882,4.457204341888428,0.0451534454028406,10.4140299940201,-999999.0,15.653234481811523,15.045522689819336,14.802665899729144,14.63375186920166,19.533710096080544,-99999.0,False,1.7307139024640508,A3716,1.0,,,,,,,,,,,,,,0.8505685820823796,17.82881736755371,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,9.0
4,4,901006998903786,314.24273512697584,-52.13228215354143,13.286744117736816,0.0509759623329352,10.402456556011929,-999999.0,15.9967041015625,15.278768539428713,15.216436354792837,14.726176261901855,22.13873607736889,-99999.0,False,1.7468136865506552,A3716,1.0,,,,,,,,,,,,,,0.7802677467696633,53.14697647094727,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,14,0,9.0
5,5,901006561204162,313.2983995612109,-53.46986077547224,2.3698697090148926,0.0445672906935215,9.846261278253852,-999999.0,17.015384674072266,16.475887298583984,16.020771192926365,16.17052459716797,19.59238433017721,-99999.0,False,1.3136746691943102,A3716,1.0,,,,,,,,,,,,,,0.9946134811459012,9.47947883605957,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,10,0,9.0
6,6,901007087201767,311.5278325750044,-51.96616733024601,6.738307476043701,0.0154654337093234,8.201909334617934,-999999.0,18.135395050048828,17.714088439941406,17.5304005747652,17.528667449951172,23.099717243728588,-99999.0,False,2.133540904592565,A3716,0.0,,,,,,,,,,,,,,0.6049944752836289,26.953229904174805,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,17,0,8.0
7,7,901006822105786,312.9572931769377,-52.74549334133921,3.072049617767334,0.0495251361280679,10.11193762315894,-999999.0,16.999311447143555,16.283130645751953,16.04307719473348,15.80582046508789,19.96314645679204,-99999.0,False,0.0506706060349096,A3716,1.0,,,,,,,,,,,,,,0.9562342524100736,12.288198471069336,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,12,0,9.0
8,8,901006998608072,313.2139215856697,-52.241151292540806,4.459528923034668,0.0507865902036428,9.740744176290368,-999999.0,17.369409561157227,16.830684661865234,16.58935521648425,16.43972396850586,21.32000426840364,-99999.0,False,0.9445056920611038,A3716,1.0,,,,,,,,,,,,,,0.7800543446729762,17.838115692138672,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0,9.0
9,9,901006734106888,311.05098127482603,-53.02252081393158,2.453494071960449,0.0159927774220705,8.690007851511087,-999999.0,17.202167510986328,16.73283576965332,16.51956595669205,16.48137855529785,19.924635516350182,-99999.0,False,2.151842953719885,A3716,0.0,,,,,,,,,,,,,,0.6826015542942798,9.813976287841797,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,26,0,9.0
10,10,901007177207720,314.4677792855485,-51.8734500472286,6.497600078582764,0.0154107911512255,8.86327421287086,-999999.0,17.533658981323242,17.023591995239258,16.091630024296617,17.0302677154541,22.33023156396645,-99999.0,False,2.2412233971965945,A3716,0.0,,,,,,,,,,,,,,1.4420289570266256,25.99040031433105,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,25,0,9.0
11,11,901006647905821,314.1253213091569,-53.21093438518085,7.481956958770752,0.024534860625863,8.38081529047307,-999999.0,18.169395446777344,17.774864196777344,17.968588585207435,17.569561004638672,23.38781490609538,-99999.0,False,1.454616976133231,A3716,0.0,,,,,,,,,,,,,,0.2008068615699088,29.927827835083008,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,5,0,9.0
12,12,901006735001769,314.5513821412939,-52.939076260641976,4.061626434326172,0.0392185822129249,10.034518078561728,-999999.0,16.711952209472656,16.00204086303711,15.64962585316185,15.495786666870115,20.288415429417967,-99999.0,False,1.7007263687441103,A3716,1.0,,,,,,,,,,,,,,1.0623263563108054,16.246505737304688,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,14,0,8.0
13,13,901007267002783,313.7145094318936,-51.57487475928252,7.562198162078857,0.0454180872021803,10.581256824020144,-999999.0,15.076839447021484,14.474879264831545,14.36086918822482,14.01882553100586,20.110994214350733,-99999.0,False,2.2436469566724786,A3716,1.0,,,,,,,,,,,,,,0.7159702587966645,30.24879264831543,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,8,0,1.0
14,14,901006734700895,313.2782548881126,-52.9566743209266,6.970221519470215,0.0486563246942591,10.5223875573339,-999999.0,16.144662857055664,15.385820388793944,15.096788444264666,14.83000659942627,20.844927973325497,-99999.0,False,0.4670322389855429,A3716,1.0,,,,,,,,,,,,,,1.047874412790998,27.88088607788086,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,3,0,1.0
15,15,901006560708244,311.3669760058034,-53.58011573865162,4.262367248535156,0.0479003749787807,9.807974223963695,-999999.0,17.24184799194336,16.623441696166992,16.381659377194044,16.18858528137207,21.014570708431265,-99999.0,False,2.283971051710895,A3716,1.0,,,,,,,,,,,,,,0.8601886147493154,17.049468994140625,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,15,0,1.0
16,16,901006821702553,311.1992374944266,-52.81471255823158,3.945601224899292,0.0446719154715538,10.294615461453803,-999999.0,15.86902141571045,15.295984268188477,14.926474759678984,14.965675354003906,19.51942489862877,-99999.0,False,1.9463845395235089,A3716,1.0,,,,,,,,,,,,,,0.9425466560314656,15.782404899597168,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,13,0,8.0
17,17,901007087404593,312.4646689625581,-52.0879450821847,4.337946891784668,0.0488793849945068,10.04587592584297,-999999.0,17.021240234375,16.423480987548828,15.95701183142469,15.973188400268556,20.852776823136026,-99999.0,False,1.3246837525839097,A3716,1.0,,,,,,,,,,,,,,1.0642284029503095,17.351787567138672,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,4,0,9.0
18,18,901006561507865,314.72198566874647,-53.51870586934516,3.3701159954071045,0.0511500388383865,9.682842805270177,-999999.0,17.320432662963867,16.842784881591797,16.551361386417152,16.571006774902344,20.72388380848245,-99999.0,False,2.289072800130472,A3716,1.0,,,,,,,,,,,,,,0.7690712765467147,13.480463981628418,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,18,0,8.0
19,19,901006561008266,312.6304570365187,-53.58196928017978,8.6265230178833,0.0414196525960564,10.81201585112314,-999999.0,15.180624008178713,14.34739875793457,14.16983056113422,13.744240760803224,20.269452367017017,-99999.0,False,1.5269944047059916,A3716,1.0,,,,,,,,,,,,,,1.01079344704449,34.5060920715332,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,9,0,1.0
20,20,901006821702691,311.2053133895144,-52.82296334719577,10.405355453491213,0.0437624371516821,10.496049560621962,-999999.0,15.09775447845459,14.446081161499023,14.648854176962278,13.968250274658203,20.7752404461038,-99999.0,False,1.9405240184679016,A3716,1.0,,,,,,,,,,,,,,0.4489003014923121,41.62142181396485,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,9,0,9.0
21,21,901006910100157,312.95465147500244,-52.47357514872116,2.551965713500977,0.0273899994790554,8.447052743570023,-999999.0,19.075124740600582,18.64985084533692,18.38439212821338,18.36995506286621,21.92709970306756,-99999.0,False,0.5041412339327505,A3716,0.0,,,,,,,,,,,,,,0.6907326123872046,10.207862854003906,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,12,0,1.0
22,22,901006734508681,312.78478570498805,-53.04418223846557,6.116221904754639,0.0418366733938455,9.892801118852253,-999999.0,17.096874237060547,16.36713218688965,16.357658822714612,15.80409812927246,21.542423037694427,-99999.0,False,0.5660205015629911,A3716,1.0,,,,,,,,,,,,,,0.7392154143459351,24.464887619018555,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,4,0,9.0
