"probe","X","ID","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyPosition","fibre_type","x","y","rads","angs","azAngs","angs_azAng"
"41",40,"Sky-A3-6",11.6443725,-31.797955845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9172.5,238823.92,2,"S",-9.1725,238.82392,0,0,0,0
"42",41,"Sky-A3-7",11.677899,-31.798658236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2328.95,238988.65,2,"S",-2.32895,238.98865,0,0,0,0
"43",42,"Sky-A4-1",12.2657299,-31.677338525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117864.56,210211.82,1,"S",117.86456,210.21182,0,0,0,0
"44",43,"Sky-A4-2",12.314376,-31.652532969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127842.23,204297.4,1,"S",127.84223,204.2974,0,0,0,0
"45",44,"Sky-A4-3",12.3615384,-31.62574798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137523.77,197909.77,1,"S",137.52377,197.90977,0,0,0,0
"46",45,"Sky-A4-4",12.4071066,-31.597047012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146886.77,191063.71,1,"S",146.88677,191.06371,0,0,0,0
"47",46,"Sky-A4-5",12.4657753,-31.581172226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159144.07,187587.75,0,"S",159.14407,187.58775,0,0,0,0
"48",47,"Sky-A4-6",12.4804948,-31.522885753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161839.59,173138.52,3,"S",161.83959,173.13852,0,0,0,0
"49",48,"Sky-A4-7",12.5332018,-31.500149786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172851.57,167938.67,1,"S",172.85157,167.93867,0,0,0,0
"50",49,"Sky-A5-1",12.5982053,-30.187122986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188260.38,-147238,2,"S",188.26038,-147.238,0,0,0,0
